gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene10051	rna17019_gene10051,rna17020_gene10051	1064.50	843.15	0.00	0.00	0.00
gene10052	rna17021_gene10052	106.00	0.00	0.00	0.00	0.00
gene10053	rna17022_gene10053	1382.00	1160.65	108.00	11.20	7.86
gene10054	rna17023_gene10054	552.00	330.80	1.00	0.36	0.26
gene10055	rna17024_gene10055,rna17025_gene10055,rna17026_gene10055,rna17027_gene10055,rna17028_gene10055,rna17029_gene10055	3246.52	3025.17	740.00	29.43	20.66
gene10056	rna17030_gene10056	1798.00	1576.65	193.00	14.73	10.34
gene10057	rna17031_gene10057	538.00	316.83	0.00	0.00	0.00
gene10058	rna17032_gene10058,rna17033_gene10058,rna17034_gene10058,rna17035_gene10058	2196.40	1975.06	218.00	13.28	9.32
gene10059	rna17036_gene10059,rna17037_gene10059	1084.15	862.80	7.00	0.98	0.69
gene1006	rna1742_gene1006	990.00	768.65	13.00	2.03	1.43
gene10060	rna17038_gene10060	369.00	150.23	0.00	0.00	0.00
gene10061	rna17039_gene10061	279.00	68.44	0.00	0.00	0.00
gene10062	rna17040_gene10062,rna17041_gene10062	3965.17	3743.82	25282.00	812.48	570.44
gene10063	rna17042_gene10063	1531.00	1309.65	20.00	1.84	1.29
gene10064	rna17043_gene10064	1216.00	994.65	5.00	0.60	0.42
gene10065	gene10065_gene10065	3508.00	3286.65	151.00	5.53	3.88
gene10066	rna17044_gene10066	577.00	355.75	39.00	13.19	9.26
gene10067	rna17045_gene10067,rna17046_gene10067,rna17047_gene10067,rna17048_gene10067,rna17049_gene10067	2156.71	1935.36	308.00	19.15	13.44
gene10068	rna17050_gene10068,rna17051_gene10068	3147.00	2925.65	3.06	0.13	0.09
gene10069	rna17052_gene10069	5092.00	4870.65	625.00	15.44	10.84
gene1007	rna1743_gene1007	2866.00	2644.65	303.00	13.78	9.68
gene10070	rna17053_gene10070	3112.00	2890.65	9.00	0.37	0.26
gene10071	rna17054_gene10071	1044.00	822.65	173.00	25.30	17.76
gene10072	rna17055_gene10072,rna17056_gene10072	932.00	710.65	4.00	0.68	0.48
gene10073	rna17057_gene10073,rna17058_gene10073,rna17059_gene10073,rna17060_gene10073,rna17061_gene10073,rna17062_gene10073,rna17063_gene10073,rna17064_gene10073,rna17065_gene10073,rna17066_gene10073,rna17067_gene10073,rna17068_gene10073	4015.43	3794.08	2906.00	92.15	64.70
gene10074	rna17069_gene10074,rna17070_gene10074	5098.00	4876.65	100.00	2.47	1.73
gene10075	rna17071_gene10075	2163.00	1941.65	75.00	4.65	3.26
gene10076	rna17072_gene10076,rna17073_gene10076,rna17074_gene10076,rna17075_gene10076,rna17076_gene10076	2227.89	2006.54	78.00	4.68	3.28
gene10077	rna17077_gene10077	3170.00	2948.65	228.00	9.30	6.53
gene10078	rna17078_gene10078	1845.00	1623.65	249.00	18.45	12.95
gene10079	gene10079_gene10079	7757.00	7535.65	1328.00	21.20	14.89
gene1008	rna1744_gene1008,rna1745_gene1008,rna1746_gene1008,rna1747_gene1008,rna1748_gene1008,rna1749_gene1008,rna1750_gene1008	1581.38	1360.03	2230.00	197.27	138.51
gene10080	rna17079_gene10080	2274.00	2052.65	359.00	21.04	14.77
gene10081	rna17080_gene10081,rna17081_gene10081	1290.23	1068.88	850.00	95.68	67.17
gene10082	rna17082_gene10082,rna17083_gene10082	2605.84	2384.49	530.00	26.74	18.78
gene10083	rna17084_gene10083	1131.00	909.65	3496.00	462.39	324.64
gene10084	rna17085_gene10084	1440.00	1218.65	1.00	0.10	0.07
gene10085	rna17086_gene10085,rna17087_gene10085	3315.00	3093.65	279.00	10.85	7.62
gene10086	rna17088_gene10086	2240.00	2018.65	926.00	55.19	38.75
gene10087	rna17089_gene10087,rna17090_gene10087,rna17091_gene10087,rna17092_gene10087,rna17093_gene10087,rna17094_gene10087,rna17095_gene10087,rna17096_gene10087,rna17097_gene10087,rna17098_gene10087	4137.43	3916.08	861.00	26.45	18.57
gene10088	rna17099_gene10088,rna17100_gene10088,rna17101_gene10088	884.00	662.65	4.00	0.73	0.51
gene10089	rna17102_gene10089	3384.00	3162.65	486.00	18.49	12.98
gene1009	rna1751_gene1009	3837.00	3615.65	7.00	0.23	0.16
gene10090	rna17103_gene10090	678.00	456.68	1381.00	363.83	255.44
gene10091	rna17104_gene10091	636.00	414.70	0.00	0.00	0.00
gene10092	rna17105_gene10092	705.00	483.67	280.00	69.65	48.90
gene10093	rna17106_gene10093	2613.00	2391.65	70.00	3.52	2.47
gene10094	rna17107_gene10094	3291.00	3069.65	277.00	10.86	7.62
gene10095	rna17108_gene10095,rna17109_gene10095	1802.94	1581.59	124.60	9.48	6.66
gene10096	rna17110_gene10096,rna17111_gene10096	1907.50	1686.15	0.00	0.00	0.00
gene10097	rna17112_gene10097	2967.00	2745.65	13.88	0.61	0.43
gene10098	rna17113_gene10098	1262.00	1040.65	0.00	0.00	0.00
gene10099	rna17114_gene10099,rna17115_gene10099	1224.00	1002.65	0.00	0.00	0.00
gene101	rna168_gene101	2453.00	2231.65	278.00	14.99	10.52
gene1010	rna1752_gene1010	831.00	609.66	21.00	4.14	2.91
gene10100	rna17116_gene10100,rna17117_gene10100,rna17118_gene10100	2101.33	1879.98	0.00	0.00	0.00
gene10101	rna17119_gene10101	591.00	369.74	0.00	0.00	0.00
gene10102	rna17120_gene10102,rna17121_gene10102,rna17122_gene10102	1543.00	1321.65	57.69	5.25	3.69
gene10103	rna17123_gene10103,rna17124_gene10103,rna17125_gene10103,rna17126_gene10103,rna17127_gene10103,rna17128_gene10103,rna17129_gene10103,rna17130_gene10103,rna17131_gene10103,rna17132_gene10103	2417.17	2195.82	59.55	3.26	2.29
gene10104	rna17133_gene10104,rna17134_gene10104,rna17135_gene10104,rna17136_gene10104,rna17137_gene10104,rna17138_gene10104	18419.77	18198.42	444.14	2.94	2.06
gene10105	rna17139_gene10105,rna17140_gene10105,rna17141_gene10105,rna17142_gene10105	4156.00	3934.65	330.46	10.10	7.09
gene10106	rna17143_gene10106	2647.00	2425.65	34.21	1.70	1.19
gene10107	rna17144_gene10107	1840.00	1618.65	46.41	3.45	2.42
gene10108	rna17145_gene10108	2099.00	1877.65	13.23	0.85	0.60
gene10109	rna17146_gene10109	2111.00	1889.65	0.00	0.00	0.00
gene1011	rna1753_gene1011	1157.00	935.65	0.00	0.00	0.00
gene10110	rna17147_gene10110	564.00	342.77	0.00	0.00	0.00
gene10111	rna17148_gene10111	346.00	128.39	0.00	0.00	0.00
gene10112	rna17149_gene10112	388.00	168.55	0.00	0.00	0.00
gene10113	rna17150_gene10113,rna17151_gene10113	1060.00	838.65	80.10	11.49	8.07
gene10114	rna17152_gene10114,rna17153_gene10114	3352.00	3130.65	893.21	34.33	24.10
gene10115	rna17154_gene10115,rna17155_gene10115	2592.80	2371.45	179.30	9.10	6.39
gene10116	rna17156_gene10116	2393.00	2171.65	102.79	5.69	4.00
gene10117	rna17157_gene10117	599.00	377.73	0.00	0.00	0.00
gene10118	rna17158_gene10118,rna17159_gene10118,rna17160_gene10118	16243.48	16022.13	2291.28	17.21	12.08
gene10119	rna17161_gene10119,rna17162_gene10119,rna17163_gene10119,rna17164_gene10119,rna17165_gene10119,rna17166_gene10119,rna17167_gene10119,rna17168_gene10119,rna17169_gene10119,rna17170_gene10119,rna17171_gene10119	6502.90	6281.55	1028.05	19.69	13.82
gene1012	rna1754_gene1012,rna1755_gene1012,rna1756_gene1012	1487.20	1265.85	212.00	20.15	14.15
gene10120	rna17172_gene10120,rna17173_gene10120,rna17174_gene10120	2978.32	2756.97	94.18	4.11	2.89
gene10121	rna17175_gene10121,rna17176_gene10121,rna17177_gene10121,rna17178_gene10121,rna17179_gene10121,rna17180_gene10121	8403.03	8181.68	90.87	1.34	0.94
gene10122	rna17181_gene10122	1066.00	844.65	5.58	0.79	0.56
gene10123	rna17182_gene10123	635.00	413.70	1.00	0.29	0.20
gene10124	rna17183_gene10124,rna17184_gene10124,rna17185_gene10124	2208.67	1987.32	0.00	0.00	0.00
gene10125	rna17186_gene10125	882.00	660.65	0.00	0.00	0.00
gene10126	rna17187_gene10126,rna17188_gene10126	1242.00	1020.65	1.00	0.12	0.08
gene10127	rna17189_gene10127,rna17190_gene10127,rna17191_gene10127,rna17192_gene10127,rna17193_gene10127,rna17194_gene10127,rna17195_gene10127	1576.00	1354.65	4.36	0.39	0.27
gene10128	rna17196_gene10128	1580.00	1358.65	0.00	0.00	0.00
gene10129	rna17197_gene10129	8053.00	7831.65	0.00	0.00	0.00
gene1013	rna1757_gene1013	1832.00	1610.65	6.00	0.45	0.31
gene10130	rna17198_gene10130	3274.00	3052.65	0.00	0.00	0.00
gene10131	rna17199_gene10131	1131.00	909.65	0.00	0.00	0.00
gene10132	rna17200_gene10132	2646.00	2424.65	0.00	0.00	0.00
gene10133	rna17201_gene10133,rna17202_gene10133,rna17203_gene10133,rna17204_gene10133	1895.16	1673.81	37.90	2.72	1.91
gene10134	rna17205_gene10134	2187.00	1965.65	0.00	0.00	0.00
gene10135	rna17206_gene10135	962.00	740.65	0.00	0.00	0.00
gene10136	rna17207_gene10136	10150.00	9928.65	0.00	0.00	0.00
gene10137	rna17208_gene10137	358.00	139.73	0.00	0.00	0.00
gene10138	rna17209_gene10138	2026.00	1804.65	389.06	25.94	18.21
gene10139	rna17210_gene10139	2247.00	2025.65	518.36	30.79	21.62
gene1014	rna1758_gene1014	1474.00	1252.65	20.00	1.92	1.35
gene10140	rna17211_gene10140	8880.00	8658.65	1297.21	18.02	12.66
gene10141	rna17212_gene10141,rna17213_gene10141	1303.00	1081.65	12.87	1.43	1.00
gene10142	rna17214_gene10142	3516.00	3294.65	173.86	6.35	4.46
gene10143	rna17215_gene10143,rna17216_gene10143,rna17217_gene10143	1270.50	1049.15	11.00	1.26	0.89
gene10144	rna17218_gene10144,rna17219_gene10144,rna17220_gene10144,rna17221_gene10144	2301.00	2079.65	30.38	1.76	1.23
gene10145	rna17222_gene10145,rna17223_gene10145,rna17224_gene10145,rna17225_gene10145	3885.52	3664.17	4064.43	133.46	93.70
gene10146	rna17226_gene10146,rna17227_gene10146,rna17228_gene10146,rna17229_gene10146	2198.00	1976.65	71.67	4.36	3.06
gene10147	rna17230_gene10147,rna17231_gene10147	2244.49	2023.14	418.40	24.88	17.47
gene10148	rna17232_gene10148	1031.00	809.65	1.00	0.15	0.10
gene10149	rna17233_gene10149	3021.00	2799.65	22.12	0.95	0.67
gene1015	rna1759_gene1015	1708.00	1486.65	77.00	6.23	4.38
gene10150	rna17234_gene10150	1257.00	1035.65	3.00	0.35	0.24
gene10151	rna17235_gene10151	1362.00	1140.65	11.00	1.16	0.81
gene10152	rna17236_gene10152,rna17237_gene10152	2216.00	1994.65	0.00	0.00	0.00
gene10153	rna17238_gene10153,rna17239_gene10153,rna17240_gene10153,rna17241_gene10153	1181.00	959.65	55.31	6.93	4.87
gene10154	rna17242_gene10154	714.00	492.67	0.00	0.00	0.00
gene10155	rna17243_gene10155,rna17244_gene10155,rna17245_gene10155,rna17246_gene10155,rna17247_gene10155,rna17248_gene10155,rna17249_gene10155,rna17250_gene10155,rna17251_gene10155	2411.48	2190.13	175.45	9.64	6.77
gene10156	rna17252_gene10156,rna17253_gene10156,rna17254_gene10156,rna17255_gene10156,rna17256_gene10156,rna17257_gene10156,rna17258_gene10156,rna17259_gene10156,rna17260_gene10156,rna17261_gene10156,rna17262_gene10156,rna17263_gene10156,rna17264_gene10156,rna17265_gene10156,rna17266_gene10156	18840.99	18619.64	625.86	4.04	2.84
gene10157	rna17267_gene10157	1047.00	825.65	0.00	0.00	0.00
gene10158	rna17268_gene10158,rna17269_gene10158,rna17270_gene10158,rna17271_gene10158	3380.48	3159.13	332.54	12.66	8.89
gene10159	rna17272_gene10159	2468.00	2246.65	357.79	19.16	13.45
gene1016	rna1760_gene1016	991.00	769.65	4.00	0.63	0.44
gene10160	rna17273_gene10160	1862.00	1640.65	58.59	4.30	3.02
gene10161	rna17274_gene10161	1794.00	1572.65	8.77	0.67	0.47
gene10162	rna17275_gene10162	1658.00	1436.65	1.00	0.08	0.06
gene10163	rna17276_gene10163	1063.00	841.65	188.90	27.00	18.96
gene10164	rna17277_gene10164,rna17278_gene10164	3349.00	3127.65	560.79	21.57	15.15
gene10165	rna17279_gene10165,rna17280_gene10165	2219.57	1998.22	167.70	10.10	7.09
gene10166	rna17281_gene10166	2434.00	2212.65	137.21	7.46	5.24
gene10167	rna17282_gene10167	594.00	372.73	321.00	103.61	72.75
gene10168	rna17283_gene10168,rna17284_gene10168,rna17285_gene10168,rna17286_gene10168	16212.44	15991.09	3428.72	25.80	18.11
gene10169	rna17287_gene10169,rna17288_gene10169,rna17289_gene10169,rna17290_gene10169,rna17291_gene10169,rna17292_gene10169,rna17293_gene10169,rna17294_gene10169,rna17295_gene10169	6264.52	6043.17	570.95	11.37	7.98
gene1017	rna1761_gene1017	1512.00	1290.65	6.00	0.56	0.39
gene10170	rna17296_gene10170,rna17297_gene10170,rna17298_gene10170	3676.16	3454.81	75.82	2.64	1.85
gene10171	rna17299_gene10171,rna17300_gene10171,rna17301_gene10171,rna17302_gene10171,rna17303_gene10171,rna17304_gene10171	8287.64	8066.29	586.13	8.74	6.14
gene10172	rna17305_gene10172	1057.00	835.65	7.42	1.07	0.75
gene10173	rna17306_gene10173	658.00	436.69	0.00	0.00	0.00
gene10174	rna17307_gene10174	2598.00	2376.65	3.00	0.15	0.11
gene10175	rna17308_gene10175	820.00	598.66	0.00	0.00	0.00
gene10176	rna17309_gene10176	907.00	685.65	0.00	0.00	0.00
gene10177	rna17310_gene10177	3500.00	3278.65	16.64	0.61	0.43
gene10178	rna17311_gene10178	9527.00	9305.65	2.00	0.03	0.02
gene10179	rna17312_gene10179,rna17313_gene10179	1645.50	1424.15	0.00	0.00	0.00
gene1018	rna1762_gene1018	1135.00	913.65	0.00	0.00	0.00
gene10180	rna17314_gene10180	2745.00	2523.65	0.00	0.00	0.00
gene10181	rna17315_gene10181	2228.00	2006.65	0.00	0.00	0.00
gene10182	rna17316_gene10182	1487.00	1265.65	0.00	0.00	0.00
gene10183	rna17317_gene10183	1840.00	1618.65	0.00	0.00	0.00
gene10184	rna17318_gene10184	4986.00	4764.65	0.00	0.00	0.00
gene10185	rna17319_gene10185,rna17320_gene10185	2401.00	2179.65	1.00	0.06	0.04
gene10186	rna17321_gene10186	902.00	680.65	0.00	0.00	0.00
gene10187	rna17322_gene10187	314.00	98.88	0.00	0.00	0.00
gene10188	rna17323_gene10188	2021.00	1799.65	48.94	3.27	2.30
gene10189	rna17324_gene10189	2252.00	2030.65	558.64	33.10	23.24
gene1019	rna1763_gene1019,rna1764_gene1019,rna1765_gene1019	1043.00	821.65	1.00	0.15	0.10
gene10190	rna17325_gene10190,rna17326_gene10190,rna17327_gene10190,rna17328_gene10190,rna17329_gene10190,rna17330_gene10190,rna17331_gene10190,rna17332_gene10190,rna17333_gene10190,rna17334_gene10190,rna17335_gene10190,rna17336_gene10190,rna17337_gene10190,rna17338_gene10190,rna17339_gene10190	8527.41	8306.06	1224.79	17.74	12.46
gene10191	rna17340_gene10191,rna17341_gene10191,rna17342_gene10191	1346.51	1125.16	46.13	4.93	3.46
gene10192	rna17343_gene10192	2234.00	2012.65	245.14	14.65	10.29
gene10193	rna17344_gene10193	1880.00	1658.65	7.16	0.52	0.36
gene10194	rna17345_gene10194	4034.00	3812.65	64.62	2.04	1.43
gene10195	rna17346_gene10195,rna17347_gene10195,rna17348_gene10195	3068.99	2847.64	2759.57	116.59	81.86
gene10196	rna17349_gene10196	3359.00	3137.65	296.33	11.36	7.98
gene10197	rna17350_gene10197	2048.00	1826.65	302.00	19.89	13.97
gene10198	rna17351_gene10198	1144.00	922.65	291.00	37.95	26.64
gene10199	rna17352_gene10199,rna17353_gene10199,rna17354_gene10199	1114.42	893.07	117.00	15.76	11.07
gene102	rna169_gene102,rna170_gene102	1642.00	1420.65	165.00	13.97	9.81
gene1020	rna1766_gene1020	604.00	382.72	0.00	0.00	0.00
gene10200	rna17355_gene10200	2370.00	2148.65	337.00	18.87	13.25
gene10201	rna17356_gene10201,rna17357_gene10201	3323.77	3102.43	623.00	24.16	16.96
gene10202	rna17358_gene10202	794.00	572.66	1.15	0.24	0.17
gene10203	rna17359_gene10203	4744.00	4522.65	676.00	17.98	12.63
gene10204	rna17360_gene10204	3706.00	3484.65	17.22	0.59	0.42
gene10205	rna17361_gene10205	3308.00	3086.65	155.00	6.04	4.24
gene10206	rna17362_gene10206,rna17363_gene10206	841.00	619.66	25.00	4.85	3.41
gene10207	rna17364_gene10207	2310.00	2088.65	111.00	6.39	4.49
gene10208	rna17365_gene10208,rna17366_gene10208,rna17367_gene10208,rna17368_gene10208,rna17369_gene10208,rna17370_gene10208,rna17371_gene10208	2841.48	2620.13	8.00	0.37	0.26
gene10209	rna17372_gene10209	1164.00	942.65	0.00	0.00	0.00
gene1021	rna1767_gene1021	2269.00	2047.65	10.00	0.59	0.41
gene10210	rna17373_gene10210	1002.00	780.65	379.00	58.41	41.01
gene10211	rna17374_gene10211	3763.00	3541.65	526.00	17.87	12.55
gene10212	rna17375_gene10212	2430.00	2208.65	16.00	0.87	0.61
gene10213	rna17376_gene10213,rna17377_gene10213,rna17378_gene10213,rna17379_gene10213,rna17380_gene10213,rna17381_gene10213	3215.89	2994.54	1137.00	45.68	32.07
gene10214	rna17382_gene10214	1204.00	982.65	3.00	0.37	0.26
gene10215	rna17383_gene10215	2463.00	2241.65	108.00	5.80	4.07
gene10216	rna17384_gene10216	2428.00	2206.65	5.00	0.27	0.19
gene10217	rna17385_gene10217	1800.00	1578.65	10.00	0.76	0.54
gene10218	rna17386_gene10218	2438.00	2216.65	2.00	0.11	0.08
gene10219	rna17387_gene10219	2241.00	2019.65	487.00	29.01	20.37
gene1022	rna1768_gene1022	941.00	719.65	393.00	65.70	46.13
gene10220	gene10220_gene10220	1331.00	1109.65	6.00	0.65	0.46
gene10221	rna17388_gene10221	1474.00	1252.65	14.00	1.34	0.94
gene10222	rna17389_gene10222	928.00	706.65	324.00	55.16	38.73
gene10223	rna17390_gene10223	886.00	664.65	70.00	12.67	8.90
gene10224	rna17391_gene10224	987.00	765.65	1.00	0.16	0.11
gene10225	rna17392_gene10225	1128.00	906.65	866.99	115.05	80.78
gene10226	rna17393_gene10226	792.00	570.66	578.16	121.90	85.58
gene10227	rna17394_gene10227	1380.00	1158.65	64.18	6.66	4.68
gene10228	rna17395_gene10228,rna17396_gene10228,rna17397_gene10228,rna17398_gene10228,rna17399_gene10228,rna17400_gene10228,rna17401_gene10228,rna17402_gene10228,rna17403_gene10228	3046.58	2825.24	108.32	4.61	3.24
gene10229	rna17404_gene10229	1894.00	1672.65	49.97	3.59	2.52
gene1023	rna1769_gene1023	1073.00	851.65	246.00	34.75	24.40
gene10230	rna17405_gene10230	728.00	506.67	0.00	0.00	0.00
gene10231	rna17406_gene10231	1165.00	943.65	33.42	4.26	2.99
gene10232	rna17407_gene10232	1708.00	1486.65	0.00	0.00	0.00
gene10233	rna17408_gene10233	440.00	219.46	780.90	428.10	300.57
gene10234	rna17409_gene10234	4837.00	4615.65	672.53	17.53	12.31
gene10235	rna17410_gene10235,rna17411_gene10235	2208.73	1987.38	139.72	8.46	5.94
gene10236	rna17412_gene10236	449.00	228.35	226.55	119.36	83.81
gene10237	rna17413_gene10237,rna17414_gene10237	1785.78	1564.43	122.00	9.38	6.59
gene10238	rna17415_gene10238,rna17416_gene10238	1074.96	853.61	50.00	7.05	4.95
gene10239	rna17417_gene10239,rna17418_gene10239	742.00	520.67	0.00	0.00	0.00
gene1024	rna1770_gene1024,rna1771_gene1024	675.00	453.68	84.00	22.28	15.64
gene10240	rna17419_gene10240	1990.00	1768.65	340.48	23.16	16.26
gene10241	rna17420_gene10241	2224.00	2002.65	48.73	2.93	2.06
gene10242	rna17421_gene10242	1759.00	1537.65	0.00	0.00	0.00
gene10243	rna17422_gene10243	1973.00	1751.65	15.07	1.03	0.73
gene10244	rna17423_gene10244,rna17424_gene10244	2904.50	2683.15	0.00	0.00	0.00
gene10245	rna17425_gene10245	1518.00	1296.65	0.00	0.00	0.00
gene10246	rna17426_gene10246	944.00	722.65	1.00	0.17	0.12
gene10247	rna17427_gene10247,rna17428_gene10247,rna17429_gene10247,rna17430_gene10247	2315.72	2094.37	439.27	25.23	17.72
gene10248	rna17431_gene10248	7129.00	6907.65	1308.43	22.79	16.00
gene10249	rna17432_gene10249,rna17433_gene10249	2049.00	1827.65	48.23	3.17	2.23
gene1025	rna1772_gene1025	612.00	390.72	43.00	13.24	9.30
gene10250	rna17434_gene10250	2012.00	1790.65	6.00	0.40	0.28
gene10251	rna17435_gene10251	3400.00	3178.65	5.05	0.19	0.13
gene10252	rna17436_gene10252	2555.00	2333.65	11.95	0.62	0.43
gene10253	rna17437_gene10253	1604.00	1382.65	45.30	3.94	2.77
gene10254	rna17438_gene10254	1685.00	1463.65	58.66	4.82	3.39
gene10255	rna17439_gene10255	2756.00	2534.65	17.58	0.83	0.59
gene10256	rna17440_gene10256	1403.00	1181.65	133.96	13.64	9.58
gene10257	rna17441_gene10257	1023.00	801.65	260.59	39.11	27.46
gene10258	rna17442_gene10258	1775.00	1553.65	64.66	5.01	3.52
gene10259	rna17443_gene10259,rna17444_gene10259	1726.00	1504.65	109.74	8.77	6.16
gene1026	rna1773_gene1026	6284.00	6062.65	447.00	8.87	6.23
gene10260	rna17445_gene10260	3563.00	3341.65	1003.56	36.13	25.37
gene10261	rna17446_gene10261	4989.00	4767.65	139.92	3.53	2.48
gene10262	rna17447_gene10262,rna17448_gene10262,rna17449_gene10262	1605.00	1383.65	12.00	1.04	0.73
gene10263	rna17450_gene10263	4804.00	4582.65	1869.79	49.09	34.47
gene10264	rna17451_gene10264	2057.00	1835.65	3.33	0.22	0.15
gene10265	rna17452_gene10265,rna17453_gene10265	1362.00	1140.65	0.00	0.00	0.00
gene10266	rna17454_gene10266	1217.00	995.65	4.00	0.48	0.34
gene10267	rna17455_gene10267	677.00	455.68	14.02	3.70	2.60
gene10268	rna17456_gene10268,rna17457_gene10268,rna17458_gene10268,rna17459_gene10268	1208.00	986.65	34.86	4.25	2.98
