gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene10031	rna16979_gene10031	3059.00	2833.77	0.00	0.00	0.00
gene10032	rna16980_gene10032	1615.00	1389.77	2.00	0.16	0.10
gene10033	rna16981_gene10033,rna16982_gene10033,rna16983_gene10033,rna16984_gene10033,rna16985_gene10033,rna16986_gene10033,rna16987_gene10033	1632.39	1407.16	30.00	2.32	1.53
gene10034	rna16988_gene10034,rna16989_gene10034	1387.93	1162.70	9.00	0.84	0.56
gene10035	rna16990_gene10035	14186.00	13960.77	154.00	1.20	0.79
gene10036	rna16991_gene10036,rna16992_gene10036,rna16993_gene10036	3415.22	3189.99	539.52	18.38	12.15
gene10037	rna16994_gene10037,rna16995_gene10037	2825.00	2599.77	44.79	1.87	1.24
gene10038	rna16996_gene10038	2041.00	1815.77	129.00	7.72	5.10
gene10039	rna16997_gene10039,rna16998_gene10039	1631.06	1405.83	19.89	1.54	1.02
gene1004	rna1739_gene1004	393.00	169.89	0.00	0.00	0.00
gene10040	rna16999_gene10040	1978.00	1752.77	0.00	0.00	0.00
gene10041	rna17000_gene10041	1428.00	1202.77	29.42	2.66	1.76
gene10042	rna17001_gene10042,rna17002_gene10042,rna17003_gene10042	569.42	344.50	2.11	0.67	0.44
gene10043	rna17004_gene10043	2184.00	1958.77	1.00	0.06	0.04
gene10044	rna17005_gene10044	464.00	239.44	0.00	0.00	0.00
gene10045	rna17006_gene10045	263.00	53.49	1.00	2.03	1.34
gene10046	gene10046_gene10046	1289.00	1063.77	102.52	10.47	6.92
gene10047	rna17007_gene10047,rna17008_gene10047	1265.00	1039.77	2.00	0.21	0.14
gene10048	rna17009_gene10048,rna17010_gene10048,rna17011_gene10048,rna17012_gene10048,rna17013_gene10048,rna17014_gene10048,rna17015_gene10048,rna17016_gene10048	3389.01	3163.78	389.00	13.36	8.83
gene10049	rna17017_gene10049	229.00	29.48	0.00	0.00	0.00
gene1005	rna1740_gene1005,rna1741_gene1005	450.00	225.61	1.00	0.48	0.32
gene10050	rna17018_gene10050	741.00	515.78	7.05	1.48	0.98
gene10051	rna17019_gene10051,rna17020_gene10051	1072.71	847.48	208.00	26.67	17.63
gene10052	rna17021_gene10052	106.00	0.00	0.00	0.00	0.00
gene10053	rna17022_gene10053	1382.00	1156.77	328.00	30.81	20.37
gene10054	rna17023_gene10054	552.00	326.93	0.00	0.00	0.00
gene10055	rna17024_gene10055,rna17025_gene10055,rna17026_gene10055,rna17027_gene10055,rna17028_gene10055,rna17029_gene10055	3275.44	3050.21	699.00	24.90	16.46
gene10056	rna17030_gene10056	1798.00	1572.77	91.00	6.29	4.16
gene10057	rna17031_gene10057	538.00	312.97	0.00	0.00	0.00
gene10058	rna17032_gene10058,rna17033_gene10058,rna17034_gene10058,rna17035_gene10058	2174.83	1949.60	242.00	13.49	8.92
gene10059	rna17036_gene10059,rna17037_gene10059	1051.00	825.77	3.00	0.40	0.26
gene1006	rna1742_gene1006	990.00	764.77	10.00	1.42	0.94
gene10060	rna17038_gene10060	369.00	146.87	0.00	0.00	0.00
gene10061	rna17039_gene10061	279.00	66.18	0.00	0.00	0.00
gene10062	rna17040_gene10062,rna17041_gene10062	3959.16	3733.93	38740.00	1127.39	745.39
gene10063	rna17042_gene10063	1531.00	1305.77	26.00	2.16	1.43
gene10064	rna17043_gene10064	1216.00	990.77	20.00	2.19	1.45
gene10065	gene10065_gene10065	3508.00	3282.77	73.00	2.42	1.60
gene10066	rna17044_gene10066	577.00	351.88	48.00	14.82	9.80
gene10067	rna17045_gene10067,rna17046_gene10067,rna17047_gene10067,rna17048_gene10067,rna17049_gene10067	2068.70	1843.46	459.00	27.06	17.89
gene10068	rna17050_gene10068,rna17051_gene10068	3081.46	2856.23	9.00	0.34	0.23
gene10069	rna17052_gene10069	5092.00	4866.77	1175.00	26.23	17.35
gene1007	rna1743_gene1007	2866.00	2640.77	3294.00	135.54	89.62
gene10070	rna17053_gene10070	3112.00	2886.77	39.00	1.47	0.97
gene10071	rna17054_gene10071	1044.00	818.77	210.00	27.87	18.43
gene10072	rna17055_gene10072,rna17056_gene10072	932.00	706.77	30.00	4.61	3.05
gene10073	rna17057_gene10073,rna17058_gene10073,rna17059_gene10073,rna17060_gene10073,rna17061_gene10073,rna17062_gene10073,rna17063_gene10073,rna17064_gene10073,rna17065_gene10073,rna17066_gene10073,rna17067_gene10073,rna17068_gene10073	3859.51	3634.27	3171.00	94.81	62.69
gene10074	rna17069_gene10074,rna17070_gene10074	5098.00	4872.77	183.00	4.08	2.70
gene10075	rna17071_gene10075	2163.00	1937.77	94.00	5.27	3.49
gene10076	rna17072_gene10076,rna17073_gene10076,rna17074_gene10076,rna17075_gene10076,rna17076_gene10076	2370.28	2145.04	58.00	2.94	1.94
gene10077	rna17077_gene10077	3170.00	2944.77	245.00	9.04	5.98
gene10078	rna17078_gene10078	1845.00	1619.77	211.00	14.16	9.36
gene10079	gene10079_gene10079	7757.00	7531.77	1834.00	26.46	17.49
gene1008	rna1744_gene1008,rna1745_gene1008,rna1746_gene1008,rna1747_gene1008,rna1748_gene1008,rna1749_gene1008,rna1750_gene1008	1577.65	1352.42	3356.00	269.64	178.28
gene10080	rna17079_gene10080	2274.00	2048.77	371.00	19.68	13.01
gene10081	rna17080_gene10081,rna17081_gene10081	1295.44	1070.21	905.00	91.89	60.75
gene10082	rna17082_gene10082,rna17083_gene10082	2597.12	2371.88	590.00	27.03	17.87
gene10083	rna17084_gene10083	1131.00	905.77	7023.00	842.53	557.05
gene10084	rna17085_gene10084	1440.00	1214.77	54.86	4.91	3.24
gene10085	rna17086_gene10085,rna17087_gene10085	3315.00	3089.77	562.00	19.76	13.07
gene10086	rna17088_gene10086	2240.00	2014.77	308.00	16.61	10.98
gene10087	rna17089_gene10087,rna17090_gene10087,rna17091_gene10087,rna17092_gene10087,rna17093_gene10087,rna17094_gene10087,rna17095_gene10087,rna17096_gene10087,rna17097_gene10087,rna17098_gene10087	4133.86	3908.63	496.00	13.79	9.12
gene10088	rna17099_gene10088,rna17100_gene10088,rna17101_gene10088	927.67	702.43	0.00	0.00	0.00
gene10089	rna17102_gene10089	3384.00	3158.77	170.00	5.85	3.87
gene1009	rna1751_gene1009	3837.00	3611.77	48.00	1.44	0.95
gene10090	rna17103_gene10090	678.00	452.80	1907.00	457.65	302.58
gene10091	rna17104_gene10091	636.00	410.82	0.00	0.00	0.00
gene10092	rna17105_gene10092	705.00	479.79	246.00	55.71	36.84
gene10093	rna17106_gene10093	2613.00	2387.77	73.00	3.32	2.20
gene10094	rna17107_gene10094	3291.00	3065.77	539.00	19.10	12.63
gene10095	rna17108_gene10095,rna17109_gene10095	1807.76	1582.52	161.68	11.10	7.34
gene10096	rna17110_gene10096,rna17111_gene10096	1906.00	1680.77	12.72	0.82	0.54
gene10097	rna17112_gene10097	2967.00	2741.77	6.37	0.25	0.17
gene10098	rna17113_gene10098	1262.00	1036.77	0.00	0.00	0.00
gene10099	rna17114_gene10099,rna17115_gene10099	1319.00	1093.77	1.79	0.18	0.12
gene101	rna168_gene101	2453.00	2227.77	283.00	13.80	9.13
gene1010	rna1752_gene1010	831.00	605.77	11.00	1.97	1.30
gene10100	rna17116_gene10100,rna17117_gene10100,rna17118_gene10100	2101.33	1876.10	0.00	0.00	0.00
gene10101	rna17119_gene10101	591.00	365.86	0.00	0.00	0.00
gene10102	rna17120_gene10102,rna17121_gene10102,rna17122_gene10102	1457.00	1231.77	10.12	0.89	0.59
gene10103	rna17123_gene10103,rna17124_gene10103,rna17125_gene10103,rna17126_gene10103,rna17127_gene10103,rna17128_gene10103,rna17129_gene10103,rna17130_gene10103,rna17131_gene10103,rna17132_gene10103	2481.55	2256.32	114.89	5.53	3.66
gene10104	rna17133_gene10104,rna17134_gene10104,rna17135_gene10104,rna17136_gene10104,rna17137_gene10104,rna17138_gene10104	18143.98	17918.75	1011.20	6.13	4.05
gene10105	rna17139_gene10105,rna17140_gene10105,rna17141_gene10105,rna17142_gene10105	4171.88	3946.65	248.52	6.84	4.52
gene10106	rna17143_gene10106	2647.00	2421.77	62.25	2.79	1.85
gene10107	rna17144_gene10107	1840.00	1614.77	51.69	3.48	2.30
gene10108	rna17145_gene10108	2099.00	1873.77	18.94	1.10	0.73
gene10109	rna17146_gene10109	2111.00	1885.77	10.04	0.58	0.38
gene1011	rna1753_gene1011	1157.00	931.77	0.00	0.00	0.00
gene10110	rna17147_gene10110	564.00	338.91	0.00	0.00	0.00
gene10111	rna17148_gene10111	346.00	125.23	0.00	0.00	0.00
gene10112	rna17149_gene10112	388.00	165.06	0.00	0.00	0.00
gene10113	rna17150_gene10113,rna17151_gene10113	1060.00	834.77	52.84	6.88	4.55
gene10114	rna17152_gene10114,rna17153_gene10114	3352.00	3126.77	902.50	31.36	20.74
gene10115	rna17154_gene10115,rna17155_gene10115	2582.86	2357.63	287.34	13.24	8.76
gene10116	rna17156_gene10116	2393.00	2167.77	31.44	1.58	1.04
gene10117	rna17157_gene10117	599.00	373.85	1.60	0.47	0.31
gene10118	rna17158_gene10118,rna17159_gene10118,rna17160_gene10118	16247.20	16021.97	4518.50	30.64	20.26
gene10119	rna17161_gene10119,rna17162_gene10119,rna17163_gene10119,rna17164_gene10119,rna17165_gene10119,rna17166_gene10119,rna17167_gene10119,rna17168_gene10119,rna17169_gene10119,rna17170_gene10119,rna17171_gene10119	6444.75	6219.52	1679.00	29.33	19.39
gene1012	rna1754_gene1012,rna1755_gene1012,rna1756_gene1012	1518.11	1292.88	230.00	19.33	12.78
gene10120	rna17172_gene10120,rna17173_gene10120,rna17174_gene10120	2728.26	2503.03	169.39	7.35	4.86
gene10121	rna17175_gene10121,rna17176_gene10121,rna17177_gene10121,rna17178_gene10121,rna17179_gene10121,rna17180_gene10121	8429.53	8204.30	1013.27	13.42	8.87
gene10122	rna17181_gene10122	1066.00	840.77	29.91	3.87	2.56
gene10123	rna17182_gene10123	635.00	409.82	0.00	0.00	0.00
gene10124	rna17183_gene10124,rna17184_gene10124,rna17185_gene10124	2208.67	1983.43	0.00	0.00	0.00
gene10125	rna17186_gene10125	882.00	656.77	0.00	0.00	0.00
gene10126	rna17187_gene10126,rna17188_gene10126	1242.00	1016.77	5.00	0.53	0.35
gene10127	rna17189_gene10127,rna17190_gene10127,rna17191_gene10127,rna17192_gene10127,rna17193_gene10127,rna17194_gene10127,rna17195_gene10127	1739.21	1513.98	91.89	6.59	4.36
gene10128	rna17196_gene10128	1580.00	1354.77	1.00	0.08	0.05
gene10129	rna17197_gene10129	8053.00	7827.77	0.00	0.00	0.00
gene1013	rna1757_gene1013	1832.00	1606.77	19.00	1.28	0.85
gene10130	rna17198_gene10130	3274.00	3048.77	1.00	0.04	0.02
gene10131	rna17199_gene10131	1131.00	905.77	1.00	0.12	0.08
gene10132	rna17200_gene10132	2646.00	2420.77	0.00	0.00	0.00
gene10133	rna17201_gene10133,rna17202_gene10133,rna17203_gene10133,rna17204_gene10133	1833.13	1607.89	44.45	3.00	1.99
gene10134	rna17205_gene10134	2187.00	1961.77	0.00	0.00	0.00
gene10135	rna17206_gene10135	962.00	736.77	0.00	0.00	0.00
gene10136	rna17207_gene10136	10150.00	9924.77	3.38	0.04	0.02
gene10137	rna17208_gene10137	358.00	136.46	0.00	0.00	0.00
gene10138	rna17209_gene10138	2026.00	1800.77	260.19	15.70	10.38
gene10139	rna17210_gene10139	2247.00	2021.77	454.77	24.44	16.16
gene1014	rna1758_gene1014	1474.00	1248.77	35.00	3.05	2.01
gene10140	rna17211_gene10140	8880.00	8654.77	1261.72	15.84	10.47
gene10141	rna17212_gene10141,rna17213_gene10141	1303.00	1077.77	24.62	2.48	1.64
gene10142	rna17214_gene10142	3516.00	3290.77	283.14	9.35	6.18
gene10143	rna17215_gene10143,rna17216_gene10143,rna17217_gene10143	1199.39	974.15	15.00	1.67	1.11
gene10144	rna17218_gene10144,rna17219_gene10144,rna17220_gene10144,rna17221_gene10144	2301.00	2075.77	83.73	4.38	2.90
gene10145	rna17222_gene10145,rna17223_gene10145,rna17224_gene10145,rna17225_gene10145	3703.77	3478.53	1869.24	58.39	38.61
gene10146	rna17226_gene10146,rna17227_gene10146,rna17228_gene10146,rna17229_gene10146	2058.48	1833.25	98.60	5.84	3.86
gene10147	rna17230_gene10147,rna17231_gene10147	2260.67	2035.44	669.32	35.73	23.62
gene10148	rna17232_gene10148	1031.00	805.77	2.28	0.31	0.20
gene10149	rna17233_gene10149	3021.00	2795.77	14.63	0.57	0.38
gene1015	rna1759_gene1015	1708.00	1482.77	110.00	8.06	5.33
gene10150	rna17234_gene10150	1257.00	1031.77	1.00	0.11	0.07
gene10151	rna17235_gene10151	1362.00	1136.77	5.21	0.50	0.33
gene10152	rna17236_gene10152,rna17237_gene10152	2216.00	1990.77	0.00	0.00	0.00
gene10153	rna17238_gene10153,rna17239_gene10153,rna17240_gene10153,rna17241_gene10153	1613.00	1387.77	1.88	0.15	0.10
gene10154	rna17242_gene10154	714.00	488.79	0.00	0.00	0.00
gene10155	rna17243_gene10155,rna17244_gene10155,rna17245_gene10155,rna17246_gene10155,rna17247_gene10155,rna17248_gene10155,rna17249_gene10155,rna17250_gene10155,rna17251_gene10155	2426.14	2200.91	369.11	18.22	12.05
gene10156	rna17252_gene10156,rna17253_gene10156,rna17254_gene10156,rna17255_gene10156,rna17256_gene10156,rna17257_gene10156,rna17258_gene10156,rna17259_gene10156,rna17260_gene10156,rna17261_gene10156,rna17262_gene10156,rna17263_gene10156,rna17264_gene10156,rna17265_gene10156,rna17266_gene10156	18829.10	18603.87	1063.80	6.21	4.11
gene10157	rna17267_gene10157	1047.00	821.77	0.00	0.00	0.00
gene10158	rna17268_gene10158,rna17269_gene10158,rna17270_gene10158,rna17271_gene10158	3352.00	3126.77	543.48	18.89	12.49
gene10159	rna17272_gene10159	2468.00	2242.77	393.75	19.08	12.61
gene1016	rna1760_gene1016	991.00	765.77	0.00	0.00	0.00
gene10160	rna17273_gene10160	1862.00	1636.77	59.31	3.94	2.60
gene10161	rna17274_gene10161	1794.00	1568.77	82.06	5.68	3.76
gene10162	rna17275_gene10162	1658.00	1432.77	2.96	0.22	0.15
gene10163	rna17276_gene10163	1063.00	837.77	7.16	0.93	0.61
gene10164	rna17277_gene10164,rna17278_gene10164	3351.32	3126.08	699.50	24.31	16.08
gene10165	rna17279_gene10165,rna17280_gene10165	2246.40	2021.17	329.66	17.72	11.72
gene10166	rna17281_gene10166	2434.00	2208.77	225.56	11.10	7.34
gene10167	rna17282_gene10167	594.00	368.86	472.40	139.17	92.01
gene10168	rna17283_gene10168,rna17284_gene10168,rna17285_gene10168,rna17286_gene10168	16224.15	15998.91	5657.50	38.43	25.41
gene10169	rna17287_gene10169,rna17288_gene10169,rna17289_gene10169,rna17290_gene10169,rna17291_gene10169,rna17292_gene10169,rna17293_gene10169,rna17294_gene10169,rna17295_gene10169	6299.60	6074.37	420.00	7.51	4.97
gene1017	rna1761_gene1017	1512.00	1286.77	0.00	0.00	0.00
gene10170	rna17296_gene10170,rna17297_gene10170,rna17298_gene10170	3278.34	3053.10	187.61	6.68	4.41
gene10171	rna17299_gene10171,rna17300_gene10171,rna17301_gene10171,rna17302_gene10171,rna17303_gene10171,rna17304_gene10171	8392.59	8167.35	527.73	7.02	4.64
gene10172	rna17305_gene10172	1057.00	831.77	10.09	1.32	0.87
gene10173	rna17306_gene10173	658.00	432.80	0.00	0.00	0.00
gene10174	rna17307_gene10174	2598.00	2372.77	1.00	0.05	0.03
gene10175	rna17308_gene10175	820.00	594.77	0.00	0.00	0.00
gene10176	rna17309_gene10176	907.00	681.77	0.00	0.00	0.00
gene10177	rna17310_gene10177	3500.00	3274.77	106.11	3.52	2.33
gene10178	rna17311_gene10178	9527.00	9301.77	0.00	0.00	0.00
gene10179	rna17312_gene10179,rna17313_gene10179	1645.50	1420.27	0.00	0.00	0.00
gene1018	rna1762_gene1018	1135.00	909.77	0.00	0.00	0.00
gene10180	rna17314_gene10180	2745.00	2519.77	0.00	0.00	0.00
gene10181	rna17315_gene10181	2228.00	2002.77	0.00	0.00	0.00
gene10182	rna17316_gene10182	1487.00	1261.77	0.62	0.05	0.04
gene10183	rna17317_gene10183	1840.00	1614.77	0.00	0.00	0.00
gene10184	rna17318_gene10184	4986.00	4760.77	0.00	0.00	0.00
gene10185	rna17319_gene10185,rna17320_gene10185	3092.50	2867.27	0.00	0.00	0.00
gene10186	rna17321_gene10186	902.00	676.77	0.00	0.00	0.00
gene10187	rna17322_gene10187	314.00	96.08	0.00	0.00	0.00
gene10188	rna17323_gene10188	2021.00	1795.77	35.81	2.17	1.43
gene10189	rna17324_gene10189	2252.00	2026.77	916.23	49.12	32.48
gene1019	rna1763_gene1019,rna1764_gene1019,rna1765_gene1019	1297.33	1072.10	0.00	0.00	0.00
gene10190	rna17325_gene10190,rna17326_gene10190,rna17327_gene10190,rna17328_gene10190,rna17329_gene10190,rna17330_gene10190,rna17331_gene10190,rna17332_gene10190,rna17333_gene10190,rna17334_gene10190,rna17335_gene10190,rna17336_gene10190,rna17337_gene10190,rna17338_gene10190,rna17339_gene10190	8346.63	8121.40	1517.28	20.30	13.42
gene10191	rna17340_gene10191,rna17341_gene10191,rna17342_gene10191	1347.14	1121.91	29.38	2.85	1.88
gene10192	rna17343_gene10192	2234.00	2008.77	601.86	32.56	21.53
gene10193	rna17344_gene10193	1880.00	1654.77	7.48	0.49	0.32
gene10194	rna17345_gene10194	4034.00	3808.77	805.27	22.97	15.19
gene10195	rna17346_gene10195,rna17347_gene10195,rna17348_gene10195	2945.37	2720.14	4543.76	181.51	120.01
gene10196	rna17349_gene10196	3359.00	3133.77	171.40	5.94	3.93
gene10197	rna17350_gene10197	2048.00	1822.77	263.00	15.68	10.37
gene10198	rna17351_gene10198	1144.00	918.77	148.00	17.50	11.57
gene10199	rna17352_gene10199,rna17353_gene10199,rna17354_gene10199	1139.04	913.81	173.00	20.57	13.60
gene102	rna169_gene102,rna170_gene102	1642.00	1416.77	121.00	9.28	6.14
gene1020	rna1766_gene1020	604.00	378.84	0.00	0.00	0.00
gene10200	rna17355_gene10200	2370.00	2144.77	329.00	16.67	11.02
gene10201	rna17356_gene10201,rna17357_gene10201	2817.71	2592.48	2156.00	90.37	59.75
gene10202	rna17358_gene10202	794.00	568.77	0.00	0.00	0.00
gene10203	rna17359_gene10203	4744.00	4518.77	778.00	18.71	12.37
gene10204	rna17360_gene10204	3706.00	3480.77	28.59	0.89	0.59
gene10205	rna17361_gene10205	3308.00	3082.77	320.00	11.28	7.46
gene10206	rna17362_gene10206,rna17363_gene10206	869.00	643.77	35.00	5.91	3.91
gene10207	rna17364_gene10207	2310.00	2084.77	117.00	6.10	4.03
gene10208	rna17365_gene10208,rna17366_gene10208,rna17367_gene10208,rna17368_gene10208,rna17369_gene10208,rna17370_gene10208,rna17371_gene10208	2702.43	2477.20	0.00	0.00	0.00
gene10209	rna17372_gene10209	1164.00	938.77	0.00	0.00	0.00
gene1021	rna1767_gene1021	2269.00	2043.77	12.00	0.64	0.42
gene10210	rna17373_gene10210	1002.00	776.77	450.00	62.95	41.62
gene10211	rna17374_gene10211	3763.00	3537.77	782.00	24.02	15.88
gene10212	rna17375_gene10212	2430.00	2204.77	65.00	3.20	2.12
gene10213	rna17376_gene10213,rna17377_gene10213,rna17378_gene10213,rna17379_gene10213,rna17380_gene10213,rna17381_gene10213	3213.79	2988.56	1042.00	37.89	25.05
gene10214	rna17382_gene10214	1204.00	978.77	1.00	0.11	0.07
gene10215	rna17383_gene10215	2463.00	2237.77	160.00	7.77	5.14
gene10216	rna17384_gene10216	2428.00	2202.77	5.00	0.25	0.16
gene10217	rna17385_gene10217	1800.00	1574.77	25.00	1.73	1.14
gene10218	rna17386_gene10218	2438.00	2212.77	0.00	0.00	0.00
gene10219	rna17387_gene10219	2241.00	2015.77	835.00	45.01	29.76
gene1022	rna1768_gene1022	941.00	715.77	216.00	32.79	21.68
gene10220	gene10220_gene10220	1331.00	1105.77	5.00	0.49	0.32
gene10221	rna17388_gene10221	1474.00	1248.77	5.00	0.44	0.29
gene10222	rna17389_gene10222	928.00	702.77	820.00	126.79	83.83
gene10223	rna17390_gene10223	886.00	660.77	18.00	2.96	1.96
gene10224	rna17391_gene10224	987.00	761.77	1.00	0.14	0.09
gene10225	rna17392_gene10225	1128.00	902.77	271.00	32.62	21.57
gene10226	rna17393_gene10226	792.00	566.77	71.00	13.61	9.00
gene10227	rna17394_gene10227	1380.00	1154.77	86.02	8.09	5.35
gene10228	rna17395_gene10228,rna17396_gene10228,rna17397_gene10228,rna17398_gene10228,rna17399_gene10228,rna17400_gene10228,rna17401_gene10228,rna17402_gene10228,rna17403_gene10228	3231.55	3006.32	64.70	2.34	1.55
gene10229	rna17404_gene10229	1894.00	1668.77	108.66	7.08	4.68
gene1023	rna1769_gene1023	1073.00	847.77	371.00	47.55	31.44
gene10230	rna17405_gene10230	728.00	502.78	0.00	0.00	0.00
gene10231	rna17406_gene10231	1165.00	939.77	118.04	13.65	9.02
gene10232	rna17407_gene10232	1708.00	1482.77	0.00	0.00	0.00
gene10233	rna17408_gene10233	440.00	215.76	916.00	461.32	305.01
gene10234	rna17409_gene10234	4837.00	4611.77	895.59	21.10	13.95
gene10235	rna17410_gene10235,rna17411_gene10235	2245.82	2020.59	445.24	23.94	15.83
gene10236	rna17412_gene10236	449.00	224.63	344.00	166.41	110.02
gene10237	rna17413_gene10237,rna17414_gene10237	1794.18	1568.94	340.00	23.55	15.57
gene10238	rna17415_gene10238,rna17416_gene10238	1097.00	871.77	23.60	2.94	1.95
gene10239	rna17417_gene10239,rna17418_gene10239	742.00	516.78	0.00	0.00	0.00
gene1024	rna1770_gene1024,rna1771_gene1024	647.05	421.86	34.00	8.76	5.79
gene10240	rna17419_gene10240	1990.00	1764.77	130.30	8.02	5.30
gene10241	rna17420_gene10241	2224.00	1998.77	95.35	5.18	3.43
gene10242	rna17421_gene10242	1759.00	1533.77	5.00	0.35	0.23
gene10243	rna17422_gene10243	1973.00	1747.77	33.81	2.10	1.39
gene10244	rna17423_gene10244,rna17424_gene10244	2837.00	2611.77	2.00	0.08	0.06
gene10245	rna17425_gene10245	1518.00	1292.77	1.00	0.08	0.06
gene10246	rna17426_gene10246	944.00	718.77	0.00	0.00	0.00
gene10247	rna17427_gene10247,rna17428_gene10247,rna17429_gene10247,rna17430_gene10247	2428.04	2202.80	787.56	38.85	25.69
gene10248	rna17431_gene10248	7129.00	6903.77	2147.89	33.81	22.35
gene10249	rna17432_gene10249,rna17433_gene10249	2049.00	1823.77	10.06	0.60	0.40
gene1025	rna1772_gene1025	612.00	386.84	2.00	0.56	0.37
gene10250	rna17434_gene10250	2012.00	1786.77	25.74	1.57	1.04
gene10251	rna17435_gene10251	3400.00	3174.77	0.00	0.00	0.00
gene10252	rna17436_gene10252	2555.00	2329.77	11.68	0.54	0.36
gene10253	rna17437_gene10253	1604.00	1378.77	43.39	3.42	2.26
gene10254	rna17438_gene10254	1685.00	1459.77	51.12	3.81	2.52
gene10255	rna17439_gene10255	2756.00	2530.77	21.81	0.94	0.62
gene10256	rna17440_gene10256	1403.00	1177.77	124.77	11.51	7.61
gene10257	rna17441_gene10257	1023.00	797.77	305.45	41.60	27.51
gene10258	rna17442_gene10258	1775.00	1549.77	197.10	13.82	9.14
gene10259	rna17443_gene10259,rna17444_gene10259	1726.00	1500.77	129.06	9.34	6.18
gene1026	rna1773_gene1026	6284.00	6058.77	843.00	15.12	10.00
gene10260	rna17445_gene10260	3563.00	3337.77	1109.69	36.13	23.89
gene10261	rna17446_gene10261	4989.00	4763.77	311.26	7.10	4.69
gene10262	rna17447_gene10262,rna17448_gene10262,rna17449_gene10262	2125.00	1899.77	7.00	0.40	0.26
gene10263	rna17450_gene10263	4804.00	4578.77	11680.08	277.19	183.27
gene10264	rna17451_gene10264	2057.00	1831.77	28.00	1.66	1.10
gene10265	rna17452_gene10265,rna17453_gene10265	1362.00	1136.77	0.00	0.00	0.00
gene10266	rna17454_gene10266	1217.00	991.77	2.00	0.22	0.14
gene10267	rna17455_gene10267	677.00	451.80	17.77	4.27	2.83
gene10268	rna17456_gene10268,rna17457_gene10268,rna17458_gene10268,rna17459_gene10268	1208.00	982.77	22.22	2.46	1.62
