"gene_id"	"InterproScan.GO.ID"
"LOC111099194"	"unknown"
"LOC111099195"	"GO:0005201;GO:0005509;GO:0031012;GO:0062023"
"LOC111099196"	"unknown"
"LOC111099199"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099197"	"unknown"
"LOC111099200"	"GO:0005515"
"LOC111099201"	"GO:0003676;GO:0005524"
"LOC111099202"	"unknown"
"LOC111099203"	"unknown"
"LOC111099204"	"unknown"
"LOC111099205"	"unknown"
"LOC111099206"	"unknown"
"LOC111099209"	"unknown"
"LOC111099207"	"GO:0016021;GO:0022857;GO:0055085"
"LOC111099210"	"GO:0005515"
"LOC111099211"	"GO:0003676;GO:0004386;GO:0005524"
"LOC111099212"	"GO:0004222;GO:0005759;GO:0006627"
"LOC111099213"	"unknown"
"LOC111099214"	"GO:0006528;GO:0008418;GO:0070773"
"LOC111099215"	"GO:0003824"
"LOC111099216"	"GO:0005515"
"LOC111099218"	"GO:0005515"
"LOC111099219"	"unknown"
"LOC111099220"	"unknown"
"LOC111099217"	"GO:0007154;GO:0016020"
"LOC111099221"	"GO:0005996;GO:0016853;GO:0048029"
"LOC111099222"	"GO:0005975;GO:0008061"
"LOC111099224"	"GO:0004989;GO:0007187;GO:0016021"
"LOC111099225"	"GO:0008270"
"LOC111099226"	"GO:0003824;GO:0006084"
"LOC111099227"	"unknown"
"LOC111099228"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099229"	"GO:0016021"
"LOC111099230"	"GO:0003950"
"LOC111099246"	"unknown"
"LOC111099262"	"GO:0007154;GO:0016020"
"LOC111099300"	"GO:0044237"
"LOC111099030"	"unknown"
"LOC111099327"	"GO:0004017;GO:0005524;GO:0006144;GO:0006172;GO:0046034"
"LOC111099343"	"GO:0005515"
"LOC111099359"	"GO:0003700;GO:0005667;GO:0006355;GO:0006355;GO:0043565"
"LOC111099316"	"GO:0005515"
"LOC111099375"	"GO:0000077;GO:0005634;GO:0071479"
"LOC111099409"	"unknown"
"LOC111099413"	"GO:0005634;GO:0006915"
"LOC111099410"	"GO:0005509"
"LOC111099414"	"unknown"
"LOC111099415"	"unknown"
"LOC111099417"	"unknown"
"LOC111099418"	"GO:0003676"
"LOC111099419"	"GO:0005267;GO:0016020;GO:0071805"
"LOC111099421"	"unknown"
"LOC111099423"	"GO:0004867"
"LOC111099420"	"GO:0016491;GO:0055114"
"LOC111099424"	"GO:0005515;GO:0005794;GO:0043004"
"LOC111099425"	"unknown"
"LOC111099426"	"GO:0003677;GO:0005634;GO:0006355"
"LOC111099427"	"GO:0016787"
"LOC111099428"	"GO:0003676"
"LOC111099429"	"unknown"
"LOC111099430"	"unknown"
"LOC111099432"	"unknown"
"LOC111099434"	"GO:0005634;GO:0006915"
"LOC111099436"	"unknown"
"LOC111099437"	"GO:0003676"
"LOC111099438"	"unknown"
"LOC111099442"	"GO:0005634;GO:0006281;GO:0030915"
"LOC111099443"	"GO:0005634;GO:0006281;GO:0030915"
"LOC111099439"	"GO:0016491;GO:0055114"
"LOC111099446"	"GO:0006508;GO:0008236"
"LOC111099447"	"unknown"
"LOC111099449"	"unknown"
"LOC111099450"	"unknown"
"LOC111099453"	"unknown"
"LOC111099454"	"GO:0009226;GO:0016491;GO:0050662"
"LOC111099451"	"unknown"
"LOC111099455"	"unknown"
"LOC111099456"	"GO:0005515"
"LOC111099458"	"GO:0005515"
"LOC111099460"	"unknown"
"LOC111099459"	"unknown"
"LOC111099461"	"GO:0016021;GO:0055085"
"LOC111099462"	"unknown"
"LOC111099463"	"unknown"
"LOC111099464"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099465"	"GO:0005576;GO:0006030;GO:0008061"
"LOC111099466"	"unknown"
"LOC111099468"	"GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111099469"	"GO:0005515"
"LOC111099470"	"GO:0003676"
"LOC111099473"	"GO:0005125;GO:0005576;GO:0007165"
"LOC111099474"	"unknown"
"LOC111099448"	"unknown"
"LOC111099471"	"GO:0005515"
"LOC111099475"	"unknown"
"LOC111099476"	"unknown"
"LOC111099477"	"GO:0005576;GO:0030414"
"LOC111099478"	"GO:0003677"
"LOC111099479"	"unknown"
"LOC111099480"	"GO:0004869;GO:0005622"
"LOC111099482"	"unknown"
"LOC111099483"	"GO:0005515"
"LOC111099481"	"GO:0003676"
"LOC111099484"	"GO:0005524;GO:0006457;GO:0051082"
"LOC111099485"	"unknown"
"LOC111099486"	"GO:0005515"
"LOC111099489"	"unknown"
"LOC111099490"	"GO:0000166;GO:0009166;GO:0016788;GO:0046872"
"LOC111099491"	"unknown"
"LOC111099493"	"GO:0004869;GO:0005622"
"LOC111099494"	"unknown"
"LOC111099495"	"unknown"
"LOC111099496"	"GO:0004416;GO:0006090;GO:0019243"
"LOC111099497"	"unknown"
"LOC111099498"	"GO:0004601;GO:0006804;GO:0006979;GO:0020037;GO:0055114"
"LOC111099499"	"unknown"
"LOC111099500"	"GO:0008654;GO:0016020;GO:0016780"
"LOC111099501"	"unknown"
"LOC111099503"	"GO:0006355"
"LOC111099504"	"unknown"
"LOC111099502"	"GO:0003937;GO:0004643;GO:0006144;GO:0006164;GO:0042720"
"LOC111099506"	"unknown"
"LOC111099507"	"unknown"
"LOC111099508"	"GO:0008270"
"LOC111099510"	"GO:0016021"
"LOC111099511"	"unknown"
"LOC111099509"	"unknown"
"LOC111099513"	"unknown"
"LOC111099514"	"GO:0008270"
"LOC111099515"	"unknown"
"LOC111099516"	"unknown"
"LOC111099517"	"unknown"
"LOC111099519"	"GO:0005515"
"LOC111099521"	"unknown"
"LOC111099518"	"unknown"
"LOC111099522"	"GO:0005164;GO:0006955;GO:0007165;GO:0016020"
"LOC111099523"	"GO:0005164;GO:0006955;GO:0007165;GO:0016020"
"LOC111099524"	"GO:0005643;GO:0017056"
"LOC111099526"	"unknown"
"LOC111099527"	"GO:0008270;GO:0008745;GO:0009252;GO:0009253;GO:0009274;GO:0042834;GO:0045087"
"LOC111099528"	"unknown"
"LOC111099531"	"GO:0006511;GO:0031625"
"LOC111099532"	"unknown"
"LOC111099533"	"GO:0008270"
"LOC111099534"	"unknown"
"LOC111099535"	"unknown"
"LOC111099536"	"unknown"
"LOC111099537"	"unknown"
"LOC111099539"	"unknown"
"LOC111099540"	"unknown"
"LOC111099542"	"unknown"
"LOC111099543"	"unknown"
"LOC111099544"	"GO:0005524;GO:0006457;GO:0051082"
"LOC111099545"	"GO:0005576;GO:0006030;GO:0008061"
"LOC111099546"	"unknown"
"LOC111099547"	"unknown"
"LOC111099549"	"GO:0005515"
"LOC111099548"	"GO:0003777;GO:0005524;GO:0005874;GO:0007018;GO:0008017;GO:0045298"
"LOC111099551"	"unknown"
"LOC111099552"	"GO:0003677;GO:0004519;GO:0005622;GO:0006281"
"LOC111099553"	"GO:0005515;GO:0035556"
"LOC111099554"	"unknown"
"LOC111099555"	"unknown"
"LOC111099556"	"GO:0008270"
"LOC111099558"	"GO:0008270"
"LOC111099559"	"unknown"
"LOC111099529"	"unknown"
"LOC111099557"	"GO:0016301;GO:0046474"
"LOC111099563"	"GO:0005515"
"LOC111099564"	"GO:0005515"
"LOC111099566"	"GO:0005509"
"LOC111099567"	"unknown"
"LOC111099569"	"GO:0005515"
"LOC111099570"	"unknown"
"LOC111099571"	"GO:0003729"
"LOC111099572"	"GO:0003676"
"LOC111099574"	"unknown"
"LOC111099573"	"GO:0000502;GO:0030234;GO:0042176"
"LOC111099577"	"unknown"
"LOC111099578"	"unknown"
"LOC111099579"	"unknown"
"LOC111099581"	"unknown"
"LOC111099582"	"unknown"
"LOC111099580"	"unknown"
"LOC111099583"	"unknown"
"LOC111099584"	"GO:0004729;GO:0006779;GO:0015994;GO:0055114"
"LOC111099585"	"GO:0004843;GO:0005515;GO:0006281;GO:0070531;GO:0070536;GO:0070552"
"LOC111099586"	"GO:0005515"
"LOC111099587"	"unknown"
"LOC111099588"	"unknown"
"LOC111099589"	"unknown"
"LOC111099590"	"unknown"
"LOC111099591"	"unknown"
"LOC111099592"	"GO:0005576;GO:0006030;GO:0008061"
"LOC111099593"	"unknown"
"LOC111099595"	"unknown"
"LOC111099596"	"unknown"
"LOC111099594"	"unknown"
"LOC111099597"	"GO:0006355;GO:0070897"
"LOC111099598"	"GO:0005515;GO:0031080"
"LOC111099600"	"unknown"
"LOC111099601"	"GO:0008270"
"LOC111099602"	"unknown"
"LOC111099603"	"unknown"
"LOC111099604"	"unknown"
"LOC111099606"	"unknown"
"LOC111099608"	"unknown"
"LOC111099609"	"unknown"
"LOC111099610"	"GO:0005515"
"LOC111099612"	"GO:0005515;GO:0007165"
"LOC111099613"	"unknown"
"LOC111099615"	"unknown"
"LOC111099614"	"GO:0044237"
"LOC111099617"	"GO:0007034"
"LOC111099618"	"unknown"
"LOC111099619"	"unknown"
"LOC111099620"	"GO:0004725;GO:0006470;GO:0006570"
"LOC111099621"	"unknown"
"LOC111099622"	"GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111099623"	"GO:0004825;GO:0005524;GO:0006431;GO:0006555"
"LOC111099625"	"GO:0000049;GO:0002098;GO:0034227"
"LOC111099626"	"unknown"
"LOC111099627"	"unknown"
"LOC111099629"	"unknown"
"LOC111099630"	"GO:0006464;GO:0015031"
"LOC111099631"	"unknown"
"LOC111099605"	"unknown"
"LOC111099628"	"unknown"
"LOC111099632"	"unknown"
"LOC111099633"	"GO:0005515;GO:0005794;GO:0043004"
"LOC111099634"	"GO:0005515"
"LOC111099639"	"GO:0004725;GO:0006470;GO:0006570;GO:0017017"
"LOC111099640"	"unknown"
"LOC111099641"	"unknown"
"LOC111099642"	"unknown"
"LOC111099644"	"unknown"
"LOC111099646"	"unknown"
"LOC111099643"	"GO:0008146"
"LOC111099648"	"unknown"
"LOC111099650"	"GO:0006486;GO:0008417;GO:0016020"
"LOC111099651"	"unknown"
"LOC111099653"	"GO:0003676"
"LOC111099654"	"unknown"
"LOC111099655"	"unknown"
"LOC111099652"	"GO:0008146"
"LOC111099656"	"GO:0005515"
"LOC111099657"	"GO:0004739;GO:0006086;GO:0006094;GO:0006096;GO:0009097;GO:0009098;GO:0009099;GO:0043231;GO:0045254"
"LOC111099658"	"GO:0016624"
"LOC111099660"	"GO:0000049;GO:0002098;GO:0034227"
"LOC111099659"	"GO:0003676;GO:0005515"
"LOC111099663"	"unknown"
"LOC111099664"	"GO:0005643"
"LOC111099665"	"GO:0005515"
"LOC111099666"	"GO:0003676;GO:0005524"
"LOC111099667"	"unknown"
"LOC111099668"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099669"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099671"	"unknown"
"LOC111099673"	"unknown"
"LOC111099670"	"unknown"
"LOC111099674"	"GO:0008270"
"LOC111099676"	"unknown"
"LOC111099679"	"unknown"
"LOC111099680"	"unknown"
"LOC111099681"	"unknown"
"LOC111099678"	"GO:0016020;GO:0030001;GO:0046873"
"LOC111099682"	"unknown"
"LOC111099683"	"unknown"
"LOC111099684"	"GO:0000166;GO:0009166;GO:0016788;GO:0046872"
"LOC111099685"	"unknown"
"LOC111099686"	"unknown"
"LOC111099687"	"GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111099688"	"unknown"
"LOC111099689"	"unknown"
"LOC111099690"	"GO:0009226;GO:0016491;GO:0050662"
"LOC111099691"	"unknown"
"LOC111099692"	"GO:0005515"
"LOC111099694"	"GO:0003677;GO:0006310;GO:0015074"
"LOC111099693"	"GO:0006479;GO:0042800;GO:0044666"
"LOC111099696"	"GO:0005515"
"LOC111099697"	"GO:0008017;GO:0045298"
"LOC111099700"	"GO:0004252;GO:0005777;GO:0016485"
"LOC111099702"	"GO:0008270"
"LOC111099701"	"GO:0005215;GO:0005515;GO:0016020;GO:0055085"
"LOC111099703"	"unknown"
"LOC111099704"	"unknown"
"LOC111099705"	"GO:0005515;GO:0005525"
"LOC111099707"	"GO:0005515"
"LOC111099708"	"GO:0005515"
"LOC111099711"	"unknown"
"LOC111099712"	"unknown"
"LOC111099713"	"GO:0004222;GO:0071586"
"LOC111099715"	"GO:0004553;GO:0005975;GO:0030246"
"LOC111099716"	"GO:0004553;GO:0005975;GO:0030246"
"LOC111099717"	"GO:0004222;GO:0006508;GO:0008270;GO:0031012"
"LOC111099718"	"GO:0004553;GO:0005975;GO:0030246"
"LOC111099721"	"GO:0002218;GO:0005515;GO:0007165;GO:0032481"
"LOC111099722"	"GO:0005515;GO:0016020"
"LOC111099723"	"GO:0005515"
"LOC111099724"	"GO:0005515;GO:0006479;GO:0018423"
"LOC111099725"	"GO:0006464;GO:0015031"
"LOC111099726"	"unknown"
"LOC111099727"	"unknown"
"LOC111099728"	"unknown"
"LOC111099729"	"GO:0003677;GO:0004518;GO:0005515"
"LOC111099730"	"unknown"
"LOC111099731"	"GO:0005515;GO:0010997;GO:0031145;GO:0097027;GO:1904668"
"LOC111099733"	"unknown"
"LOC111099734"	"unknown"
"LOC111099732"	"unknown"
"LOC111099735"	"GO:0046872"
"LOC111099736"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099737"	"GO:0006979;GO:0030091;GO:0033743;GO:0055114"
"LOC111099739"	"unknown"
"LOC111099740"	"GO:0006486;GO:0008378;GO:0016020"
"LOC111099738"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099741"	"GO:0000079;GO:0005634;GO:0010389;GO:0019901"
"LOC111099742"	"unknown"
"LOC111099744"	"unknown"
"LOC111099746"	"GO:0005524;GO:0008514;GO:0015711;GO:0016021;GO:0042626;GO:0055085"
"LOC111099748"	"GO:0005524;GO:0008514;GO:0015711;GO:0016021;GO:0042626;GO:0055085"
"LOC111099747"	"GO:0006355;GO:0043565"
"LOC111099749"	"GO:0008270"
"LOC111099750"	"unknown"
"LOC111099752"	"unknown"
"LOC111099753"	"unknown"
"LOC111099754"	"GO:0000776;GO:0034508"
"LOC111099755"	"GO:0008270;GO:0008745;GO:0009252;GO:0009253;GO:0009274;GO:0042834;GO:0045087"
"LOC111099756"	"unknown"
"LOC111099761"	"unknown"
"LOC111099764"	"unknown"
"LOC111099765"	"unknown"
"LOC111099766"	"unknown"
"LOC111099767"	"unknown"
"LOC111099770"	"GO:0006886;GO:0006887;GO:0016020;GO:0017137"
"LOC111099771"	"GO:0004114;GO:0005515;GO:0006144;GO:0007165"
"LOC111099772"	"GO:0004252;GO:0006508;GO:0016021"
"LOC111099751"	"unknown"
"LOC111099773"	"GO:0003700;GO:0005634;GO:0005667;GO:0006355;GO:0006355"
"LOC111099774"	"GO:0016021;GO:0055085"
"LOC111099776"	"unknown"
"LOC111099777"	"GO:0003676"
"LOC111099775"	"GO:0004601;GO:0006804;GO:0006979;GO:0020037;GO:0055114"
"LOC111099778"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099779"	"GO:0005739;GO:0065003"
"LOC111099780"	"GO:0031110"
"LOC111099781"	"GO:0005484;GO:0005622;GO:0006886;GO:0016020;GO:0016192"
"LOC111099783"	"unknown"
"LOC111099784"	"unknown"
"LOC111099785"	"GO:0003924;GO:0005525;GO:0007165;GO:0016020"
"LOC111099786"	"unknown"
"LOC111099787"	"unknown"
"LOC111099788"	"unknown"
"LOC111099789"	"unknown"
"LOC111099793"	"unknown"
"LOC111099794"	"GO:0007187;GO:0008528;GO:0016021"
"LOC111099792"	"GO:0005524;GO:0005657;GO:0031011;GO:0035267;GO:0043141;GO:0097255"
"LOC111099795"	"unknown"
"LOC111099796"	"GO:0006355;GO:0043565"
"LOC111099797"	"GO:0005515"
"LOC111099799"	"GO:0005634;GO:0006915"
"LOC111099801"	"GO:0042981"
"LOC111099802"	"unknown"
"LOC111099798"	"unknown"
"LOC111099803"	"GO:0003676"
"LOC111099804"	"unknown"
"LOC111099806"	"unknown"
"LOC111099807"	"unknown"
"LOC111099810"	"unknown"
"LOC111099811"	"unknown"
"LOC111099812"	"unknown"
"LOC111099808"	"unknown"
"LOC111099813"	"unknown"
"LOC111099814"	"GO:0003677;GO:0005739;GO:0006310;GO:0015074;GO:0051607"
"LOC111099815"	"GO:0003700;GO:0005667;GO:0006355;GO:0006355;GO:0021778;GO:0030182;GO:0042552;GO:0046983"
"LOC111099816"	"GO:0005515;GO:0008270"
"LOC111099818"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099820"	"GO:0003676"
"LOC111099821"	"unknown"
"LOC111099822"	"unknown"
"LOC111099823"	"unknown"
"LOC111099825"	"unknown"
"LOC111099827"	"GO:0008270"
"LOC111099828"	"unknown"
"LOC111099829"	"GO:0016829"
"LOC111099826"	"unknown"
"LOC111099830"	"unknown"
"LOC111099832"	"unknown"
"LOC111099833"	"unknown"
"LOC111099834"	"unknown"
"LOC111099836"	"GO:0016829"
"LOC111099837"	"GO:0016829"
"LOC111099835"	"GO:0008380"
"LOC111099840"	"unknown"
"LOC111099841"	"GO:0005515"
"LOC111099842"	"unknown"
"LOC111099843"	"unknown"
"LOC111099845"	"GO:0005509;GO:0005544;GO:0030246"
"LOC111099846"	"GO:0007219;GO:0016567"
"LOC111099847"	"unknown"
"LOC111099844"	"GO:0003676"
"LOC111099849"	"unknown"
"LOC111099850"	"unknown"
"LOC111099852"	"unknown"
"LOC111099854"	"unknown"
"LOC111099851"	"GO:0005507;GO:0016491;GO:0055114"
"LOC111099855"	"unknown"
"LOC111099856"	"unknown"
"LOC111099857"	"GO:0000049;GO:0004818;GO:0005524;GO:0006424;GO:0008270;GO:0009332;GO:0015994"
"LOC111099858"	"unknown"
"LOC111099859"	"GO:0016021"
"LOC111099860"	"unknown"
"LOC111099831"	"unknown"
"LOC111099862"	"GO:0005576;GO:0030414"
"LOC111099863"	"unknown"
"LOC111099864"	"GO:0008270"
"LOC111099861"	"unknown"
"LOC111099865"	"GO:0004601;GO:0006804;GO:0006979;GO:0020037;GO:0055114"
"LOC111099867"	"unknown"
"LOC111099868"	"unknown"
"LOC111099869"	"unknown"
"LOC111099870"	"GO:0007165;GO:0019208;GO:0019901"
"LOC111099873"	"GO:0003735;GO:0005840;GO:0032543;GO:0042254"
"LOC111099874"	"unknown"
"LOC111099872"	"unknown"
"LOC111099876"	"unknown"
"LOC111099878"	"unknown"
"LOC111099879"	"unknown"
"LOC111099880"	"unknown"
"LOC111099882"	"GO:0001678;GO:0004396;GO:0005524;GO:0005536;GO:0005982;GO:0005985;GO:0006000;GO:0006012;GO:0006013;GO:0006040;GO:0006094;GO:0006096;GO:0019872"
"LOC111099881"	"GO:0004198;GO:0005622;GO:0006508"
"LOC111099883"	"GO:0051018;GO:0060828"
"LOC111099884"	"unknown"
"LOC111099886"	"unknown"
"LOC111099889"	"unknown"
"LOC111099888"	"unknown"
"LOC111099892"	"unknown"
"LOC111099893"	"unknown"
"LOC111099894"	"unknown"
"LOC111099895"	"unknown"
"LOC111099896"	"unknown"
"LOC111099898"	"GO:0005515"
"LOC111099899"	"unknown"
"LOC111099900"	"GO:0007034"
"LOC111099902"	"unknown"
"LOC111099903"	"GO:0003676"
"LOC111099905"	"unknown"
"LOC111099904"	"GO:0000062"
"LOC111099907"	"unknown"
"LOC111099909"	"GO:0006355;GO:0043565"
"LOC111099910"	"unknown"
"LOC111099912"	"unknown"
"LOC111099914"	"GO:0008270"
"LOC111099915"	"unknown"
"LOC111099916"	"unknown"
"LOC111099917"	"GO:0008270"
"LOC111099918"	"GO:0005515"
"LOC111099919"	"unknown"
"LOC111099920"	"unknown"
"LOC111099922"	"GO:0000398;GO:0003676"
"LOC111099921"	"unknown"
"LOC111099923"	"unknown"
"LOC111099924"	"unknown"
"LOC111099925"	"GO:0005634;GO:0006355"
"LOC111099926"	"unknown"
"LOC111099927"	"GO:0004601;GO:0006804;GO:0006979;GO:0020037;GO:0055114"
"LOC111099929"	"unknown"
"LOC111099928"	"unknown"
"LOC111099906"	"unknown"
"LOC111099930"	"unknown"
"LOC111099931"	"unknown"
"LOC111099933"	"GO:0005509"
"LOC111099934"	"GO:0002218;GO:0032481"
"LOC111099935"	"unknown"
"LOC111099932"	"GO:0006486;GO:0016021;GO:0016757"
"LOC111099936"	"GO:0005515"
"LOC111099937"	"GO:0005515"
"LOC111099938"	"GO:0005515"
"LOC111099940"	"GO:0006508;GO:0008234;GO:0008270"
"LOC111099942"	"unknown"
"LOC111099944"	"unknown"
"LOC111099941"	"GO:0016021;GO:0055085"
"LOC111099945"	"GO:0003824"
"LOC111099946"	"unknown"
"LOC111099947"	"unknown"
"LOC111099948"	"unknown"
"LOC111099951"	"unknown"
"LOC111099952"	"GO:0005507;GO:0016491;GO:0055114"
"LOC111099949"	"GO:0006486;GO:0008378;GO:0016020"
"LOC111099953"	"GO:0016021"
"LOC111099954"	"GO:0005515"
"LOC111099956"	"GO:0005515"
"LOC111099957"	"unknown"
"LOC111099959"	"GO:0005515;GO:0035556"
"LOC111099960"	"unknown"
"LOC111099958"	"unknown"
"LOC111099961"	"GO:0005515"
"LOC111099962"	"unknown"
"LOC111099963"	"unknown"
