"cyan.gene_id","cyan.cpg_count","cyan.protein_id","cyan.chr","cyan.method","cyan.feature","cyan.start","cyan.end","cyan.score","cyan.strand","cyan.phase","cyan.CDS_ID","cyan.Parent","cyan.Description","cyan.GO.SLIM","cyan.Enzyme.Codes","cyan.Enzyme.Names","cyan.InterproScan.GO.ID"
"LOC111132179",71,"XP_022335656.1","NC_035780.1","Gnomon","CDS","17103617","17103644",".","-","0","cds1618","rna1786","LOW QUALITY PROTEIN: transcriptional activator protein Pur-beta-B-like","","","",""
"LOC111124764",NA,"XP_022323644.1","NC_035782.1","Gnomon","CDS","40193869","40194087",".","+","0","cds16230","rna17670","protein mesh-like","P:GO:0007155","","","GO:0007160"
"LOC111106046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111123821",128,"XP_022322140.1","NC_035782.1","Gnomon","CDS","40757916","40757994",".","-","0","cds16306","rna17750","protein capicua homolog isoform X1","","","",""
"LOC111125405",10,"XP_022324884.1","NC_035782.1","Gnomon","CDS","41340070","41340452",".","+","2","cds16349","rna17798","protocadherin beta-15-like isoform X1","C:GO:0005886; P:GO:0007155; F:GO:0043167","","","GO:0005509;GO:0005886;GO:0007156"
"LOC111127405",NA,"XP_022328272.1","NC_035782.1","Gnomon","CDS","42181592","42181703",".","+","0","cds16444","rna17900","monocarboxylate transporter 5-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111124571",NA,"XP_022323242.1","NC_035782.1","Gnomon","CDS","42344810","42345732",".","+","2","cds16464","rna17922","uncharacterized protein LOC111124571","","","",""
"LOC111104519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111124590",NA,"XP_022323280.1","NC_035782.1","Gnomon","CDS","42827265","42827426",".","-","0","cds16517","rna17982","lysosomal Pro-X carboxypeptidase-like","F:GO:0008233","","","GO:0006508;GO:0008236"
"LOC111126684",NA,"XP_022327203.1","NC_035782.1","Gnomon","CDS","42839447","42839817",".","+","0","cds16520","rna17985","muscarinic acetylcholine receptor gar-3-like","C:GO:0005575","","","GO:0016021"
"LOC111125803",NA,"XP_022325656.1","NC_035782.1","Gnomon","CDS","43414871","43414928",".","+","0","cds16591","rna18058","monocarboxylate transporter 9-like isoform X1","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111126191",NA,"XP_022326358.1","NC_035782.1","Gnomon","CDS","43437684","43437868",".","-","2","cds16593","rna18060","monocarboxylate transporter 14-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111123500",10,"XP_022321590.1","NC_035782.1","Gnomon","CDS","43763866","43764014",".","-","0","cds16636","rna18103","AUGMIN subunit 5-like","C:GO:0005856; P:GO:0007010; P:GO:0007049; P:GO:0022607; C:GO:0032991","","","GO:0051225;GO:0070652"
"LOC111125669",NA,"XP_022325419.1","NC_035782.1","Gnomon","CDS","44005237","44006451",".","-","0","cds16669","rna18138","beta-1%2C3-galactosyltransferase 5-like isoform X1","C:GO:0005575; P:GO:0006464; P:GO:0009058; F:GO:0016757","","","GO:0006486;GO:0008378;GO:0016020"
"LOC111125156",NA,"XP_022324387.1","NC_035782.1","Gnomon","CDS","45718981","45719098",".","+","2","cds16864","rna18341","zinc metalloproteinase-disintegrin-like atrase-A isoform X1","GO:0008233","EC:3.4.24","Acting on peptide bonds (peptidases)","GO:0004222;GO:0006508"
"LOC111122549",30,"XP_022320040.1","NC_035782.1","Gnomon","CDS","46177680","46177798",".","-","0","cds16914","rna18394","F-box/WD repeat-containing protein 5-like","F:GO:0003674","","","GO:0005515"
"LOC111138426",NA,"XP_022346094.1","NC_035780.1","Gnomon","CDS","17700935","17700991",".","-","0","cds1657","rna1832","cytochrome P450 4X1-like","F:GO:0016491; F:GO:0043167","","","GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111138433",NA,"XP_022346107.1","NC_035780.1","Gnomon","CDS","17701228","17702427",".","+","0","cds1658","rna1833","uncharacterized protein LOC111138433","","","",""
"LOC111126038",39,"XP_022326121.1","NC_035782.1","Gnomon","CDS","46690375","46690386",".","+","0","cds16982","rna18464","zinc finger protein GLIS2-like","F:GO:0003674","","","GO:0003676"
"LOC111124552",19,"XP_022323203.1","NC_035782.1","Gnomon","CDS","47524558","47524613",".","+","0","cds17056","rna18546","jupiter microtubule associated homolog 1-like isoform X1","","","",""
"LOC111125369",62,"XP_022324824.1","NC_035782.1","Gnomon","CDS","48088836","48088886",".","-","0","cds17116","rna18610","heterogeneous nuclear ribonucleoprotein L-like","F:GO:0003674","","","GO:0003676"
"LOC111123801",131,"XP_022322081.1","NC_035782.1","Gnomon","CDS","48103443","48103506",".","+","0","cds17119","rna18613","uncharacterized protein LOC111123801 isoform X1","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0007165; P:GO:0009058; P:GO:0034641; F:GO:0043167","","","GO:0003707;GO:0004879;GO:0005634;GO:0006355;GO:0007165;GO:0008270;GO:0043565"
"LOC111124859",52,"XP_022323792.1","NC_035782.1","Gnomon","CDS","48614419","48614460",".","-","0","cds17159","rna18654","multidrug resistance-associated protein 1-like isoform X1","GO:0005886;GO:0016887;GO:0022857;GO:0043167","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0005524;GO:0005887;GO:0008514;GO:0015711;GO:0042626;GO:0055085"
"LOC111122639",10,"XP_022320190.1","NC_035782.1","Gnomon","CDS","49058604","49058804",".","-","2","cds17205","rna18702","uncharacterized protein LOC111122639 isoform X1","","","",""
"LOC111127391",NA,"XP_022328258.1","NC_035782.1","Gnomon","CDS","49368253","49368298",".","-","0","cds17237","rna18736","BAG family molecular chaperone regulator 1-like","F:GO:0003674","","","GO:0051087"
"LOC111125304",15,"XP_022324633.1","NC_035782.1","Gnomon","CDS","49598240","49598351",".","-","0","cds17264","rna18764","sterol regulatory element-binding protein 1-like","F:GO:0003674; P:GO:0009058; P:GO:0034641","","","GO:0006355;GO:0046983"
"LOC111120932",NA,"XP_022317699.1","NC_035780.1","Gnomon","CDS","18199480","18199528",".","-","0","cds1706","rna1883","pancreatic secretory granule membrane major glycoprotein GP2-like","","","",""
"LOC111126455",215,"XP_022326824.1","NC_035782.1","Gnomon","CDS","51445270","51445684",".","+","0","cds17532","rna19041","calcium/calmodulin-dependent 3'%2C5'-cyclic nucleotide phosphodiesterase 1A-like isoform X1","GO:0003674;GO:0007165;GO:0034641;GO:0044281","EC:3.1.4.17","3',5'-cyclic-nucleotide phosphodiesterase","GO:0004114;GO:0006144;GO:0007165"
"LOC111120917",NA,"XP_022317672.1","NC_035780.1","Gnomon","CDS","18220694","18220760",".","+","0","cds1707","rna1884","von Willebrand factor D and EGF domain-containing protein-like","","","",""
"LOC111126392",10,"XP_022326697.1","NC_035782.1","Gnomon","CDS","51564055","51564325",".","+","0","cds17558","rna19068","probable palmitoyltransferase ZDHHC24","","","",""
"LOC111124011",107,"XP_022322561.1","NC_035782.1","Gnomon","CDS","52086887","52087026",".","-","1","cds17610","rna19122","vascular endothelial growth factor receptor 1-like isoform X1","GO:0005886;GO:0006464;GO:0007165;GO:0016301;GO:0043167","EC:2.7.10; EC:2.7.10.1; EC:2.7.11","Transferring phosphorus-containing groups; Receptor protein-tyrosine kinase; Transferring phosphorus-containing groups","GO:0005021;GO:0005509;GO:0005524;GO:0005887;GO:0006468;GO:0048010"
"LOC111126204",NA,"XP_022326382.1","NC_035782.1","Gnomon","CDS","52160979","52161234",".","+","0","cds17620","rna19132","uncharacterized protein LOC111126204","F:GO:0003674; P:GO:0007165; P:GO:0008283; P:GO:0040007","","","GO:0007165;GO:0008083;GO:0008283;GO:0040007"
"LOC111125961",15,"XP_022325980.1","NC_035782.1","Gnomon","CDS","52441034","52442452",".","-","0","cds17656","rna19220","NF-kappa-B-repressing factor-like","F:GO:0003674","","","GO:0003676"
"LOC111125963",39,"XP_022325985.1","NC_035782.1","Gnomon","CDS","52562893","52563063",".","+","2","cds17683","rna19247","serine beta-lactamase-like protein LACTB%2C mitochondrial","","","",""
"LOC111125982",26,"XP_022326012.1","NC_035782.1","Gnomon","CDS","52609749","52609862",".","-","0","cds17692","rna19257","CCR4-NOT transcription complex subunit 7-like","GO:0004518;GO:0005622;GO:0032991","EC:3.1.13; EC:3.1.15; EC:3.1.13.4","Acting on ester bonds; Acting on ester bonds; Poly(A)-specific ribonuclease","GO:0003676;GO:0004535;GO:0030014;GO:0051252"
"LOC111125952",24,"XP_022325948.1","NC_035782.1","Gnomon","CDS","52867755","52869240",".","-","0","cds17757","rna19322","WD repeat-containing protein 47-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111125953",39,"XP_022325951.1","NC_035782.1","Gnomon","CDS","52890760","52890808",".","-","0","cds17761","rna19326","receptor-type tyrosine-protein phosphatase kappa-like","GO:0006464;GO:0006520;GO:0016791","EC:3.1.3.16; EC:3.1.3.48","Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase","GO:0004725;GO:0006470;GO:0006570"
"LOC111110197",35,"XP_022302337.1","NC_035780.1","Gnomon","CDS","18371137","18371818",".","+","0","cds1719","rna1896","uncharacterized protein LOC111110197","P:GO:0002376; C:GO:0005739; P:GO:0006950","","","GO:0005739;GO:0051607"
"LOC111124306",124,"XP_022322867.1","NC_035782.1","Gnomon","CDS","53555346","53555391",".","+","0","cds17830","rna19395","uncharacterized protein LOC111124306","F:GO:0003674","","","GO:0005515"
"LOC111123983",63,"XP_022322485.1","NC_035782.1","Gnomon","CDS","53679651","53679823",".","+","0","cds17843","rna19408","rap guanine nucleotide exchange factor 1-like isoform X1","C:GO:0005622; P:GO:0007165; F:GO:0019899","","","GO:0005085;GO:0005622;GO:0007264;GO:0043087"
"LOC111123982",97,"XP_022322482.1","NC_035782.1","Gnomon","CDS","53705271","53705321",".","-","0","cds17852","rna19417","multidrug resistance-associated protein 4-like","GO:0005575;GO:0016887;GO:0022857;GO:0043167","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0005524;GO:0016021;GO:0042626;GO:0055085"
"LOC111125214",66,"XP_022324479.1","NC_035782.1","Gnomon","CDS","53759220","53759339",".","+","0","cds17862","rna19427","transcription initiation factor TFIID subunit 1-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111126386",22,"XP_022326688.1","NC_035782.1","Gnomon","CDS","54140207","54140463",".","+","2","cds17923","rna19492","nuclear hormone receptor FTZ-F1 beta-like","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0007165; P:GO:0009058; C:GO:0032991; P:GO:0034641; F:GO:0043167","","","GO:0003700;GO:0003707;GO:0005634;GO:0005667;GO:0006355;GO:0006355;GO:0007165;GO:0008270;GO:0043565"
"LOC111127495",8,"XP_022328404.1","NC_035782.1","Gnomon","CDS","54185698","54186969",".","+","0","cds17924","rna19493","uncharacterized protein LOC111127495","","","",""
"LOC111126513",NA,"XP_022326913.1","NC_035782.1","Gnomon","CDS","54350629","54352584",".","-","0","cds17940","rna19512","uncharacterized protein LOC111126513","F:GO:0043167","","","GO:0008270"
"LOC111126975",33,"XP_022327645.1","NC_035782.1","Gnomon","CDS","54954074","54954273",".","+","0","cds18048","rna19623","signal recognition particle receptor subunit alpha-like","GO:0003924;GO:0005737;GO:0005783;GO:0006605;GO:0032991;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005047;GO:0005525;GO:0005785;GO:0005786;GO:0006614"
"LOC111125130",NA,"XP_022324332.1","NC_035782.1","Gnomon","CDS","55172201","55172311",".","-","2","cds18068","rna19645","metallophosphoesterase MPPED2-like","F:GO:0003674","","","GO:0016787"
"LOC111125457",1,"XP_022324998.1","NC_035782.1","Gnomon","CDS","55218702","55218816",".","+","0","cds18072","rna19651","LOW QUALITY PROTEIN: ran GTPase-activating protein 1-like","P:GO:0007165; F:GO:0030234","","","GO:0005096;GO:0005515;GO:0007165"
"LOC111126347",NA,"XP_022326602.1","NC_035782.1","Gnomon","CDS","55406706","55406890",".","-","0","cds18083","rna19663","LOW QUALITY PROTEIN: LIM homeobox transcription factor 1-beta-like","F:GO:0003677; P:GO:0009058; P:GO:0034641","","","GO:0006355;GO:0043565"
"LOC111122645",116,"XP_022320201.1","NC_035782.1","Gnomon","CDS","55469083","55469283",".","-","0","cds18085","rna19666","roquin-1-like","F:GO:0043167","","","GO:0046872"
"LOC111124319",142,"XP_022322878.1","NC_035782.1","Gnomon","CDS","55689723","55689828",".","+","0","cds18117","rna19699","LOW QUALITY PROTEIN: discoidin domain-containing receptor 2-like","GO:0006464;GO:0016301;GO:0043167","EC:2.7.10","Transferring phosphorus-containing groups","GO:0004713;GO:0005524;GO:0006468"
"LOC111122700",43,"XP_022320281.1","NC_035782.1","Gnomon","CDS","55881502","55881657",".","-","2","cds18131","rna19717","dnaJ homolog subfamily C member 7-like","F:GO:0003674","","","GO:0005515"
"LOC111122998",99,"XP_022320776.1","NC_035782.1","Gnomon","CDS","56187916","56188099",".","-","0","cds18153","rna19739","coiled-coil domain-containing protein 158-like isoform X1","","","",""
"LOC111123001",NA,"XP_022320785.1","NC_035782.1","Gnomon","CDS","56181073","56183487",".","+","0","cds18156","rna19742","uncharacterized protein LOC111123001","","","",""
"LOC111126224",NA,"XP_022326416.1","NC_035782.1","Gnomon","CDS","56209965","56210077",".","-","0","cds18161","rna19747","uncharacterized protein LOC111126224","","","",""
"LOC111125562",165,"XP_022325209.1","NC_035782.1","Gnomon","CDS","56763390","56763445",".","-","0","cds18244","rna19831","LOW QUALITY PROTEIN: DNA polymerase epsilon catalytic subunit A-like","GO:0000228;GO:0003677;GO:0006259;GO:0006950;GO:0009058;GO:0016779;GO:0032991;GO:0043167","EC:2.7.7.7","DNA-directed DNA polymerase","GO:0000166;GO:0003677;GO:0003887;GO:0006260;GO:0006281;GO:0008270;GO:0008622"
"LOC111101228",109,"XP_022289354.1","NC_035780.1","Gnomon","CDS","18876068","18876175",".","-","0","cds1752","rna1936","LOW QUALITY PROTEIN: centrosomal protein of 57 kDa-like","C:GO:0005856; P:GO:0007010; F:GO:0008092; C:GO:0032991","","","GO:0008017;GO:0034453;GO:0042802;GO:0043015;GO:0045298"
"LOC111125386",8,"XP_022324853.1","NC_035782.1","Gnomon","CDS","57617732","57617834",".","+","0","cds18334","rna19926","selenoprotein S-like","C:GO:0005737; C:GO:0005783; P:GO:0006810","","","GO:0006886;GO:0030176"
"LOC111125941",8,"XP_022325910.1","NC_035782.1","Gnomon","CDS","57650337","57651291",".","-","0","cds18335","rna19927","tankyrase-1-like","F:GO:0003674","","","GO:0005515"
"LOC111124745",NA,"XP_022323603.1","NC_035782.1","Gnomon","CDS","58198996","58199092",".","-","1","cds18411","rna20010","LOW QUALITY PROTEIN: large neutral amino acids transporter small subunit 1-like","C:GO:0005575; F:GO:0022857","","","GO:0016020;GO:0022857;GO:0055085"
"LOC111123236",118,"XP_022321138.1","NC_035782.1","Gnomon","CDS","58211369","58213403",".","+","0","cds18412","rna20011","histone-lysine N-methyltransferase 2D-like isoform X1","GO:0005654;GO:0006464;GO:0008168;GO:0032991","EC:2.1.1.43","Histone-lysine N-methyltransferase","GO:0005515;GO:0006479;GO:0042800;GO:0044666"
"LOC111126289",NA,"XP_022326515.1","NC_035782.1","Gnomon","CDS","58469693","58469750",".","-","0","cds18445","rna20046","low-density lipoprotein receptor class A domain-containing protein 3-like","F:GO:0003674","","","GO:0005515"
"LOC111127288",24,"XP_022328098.1","NC_035782.1","Gnomon","CDS","59150590","59150645",".","+","2","cds18502","rna20110","parafibromin-like","C:GO:0005654; P:GO:0006464; P:GO:0009058; C:GO:0032991; P:GO:0034641; P:GO:0051276","","","GO:0006368;GO:0016570;GO:0016593"
"LOC111127422",21,"XP_022328303.1","NC_035782.1","Gnomon","CDS","59608982","59609181",".","-","0","cds18528","rna20138","LOW QUALITY PROTEIN: zinc finger protein ZPR1-like","F:GO:0043167","","","GO:0008270"
"LOC111123861",NA,"XP_022322207.1","NC_035782.1","Gnomon","CDS","59862607","59862914",".","-","1","cds18546","rna20158","uncharacterized protein LOC111123861 isoform X1","","","",""
"LOC111123864",NA,"XP_022322210.1","NC_035782.1","Gnomon","CDS","59886747","59887059",".","+","0","cds18549","rna20161","jmjC domain-containing protein 4-like isoform X1","","","",""
"LOC111126050",NA,"XP_022326143.1","NC_035782.1","Gnomon","CDS","60161734","60161885",".","+","0","cds18571","rna20183","LOW QUALITY PROTEIN: uncharacterized protein LOC111126050","","","",""
"LOC111125807",28,"XP_022325664.1","NC_035782.1","Gnomon","CDS","60249714","60249716",".","-","0","cds18578","rna20190","LOW QUALITY PROTEIN: MBT domain-containing protein 1-like","C:GO:0005634; P:GO:0009058; P:GO:0034641; F:GO:0043167","","","GO:0005515;GO:0005634;GO:0006355;GO:0008270"
"LOC111124759",8,"XP_022323636.1","NC_035782.1","Gnomon","CDS","60714795","60714837",".","+","0","cds18614","rna20226","LOW QUALITY PROTEIN: protein unc-50 homolog","","","",""
"LOC111125385",11,"XP_022324851.1","NC_035782.1","Gnomon","CDS","61273413","61273582",".","-","0","cds18667","rna20281","LOW QUALITY PROTEIN: 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like","F:GO:0016746","","","GO:0016746"
"LOC111122652",16,"XP_022320212.1","NC_035782.1","Gnomon","CDS","61366916","61366993",".","+","0","cds18674","rna20291","endothelial differentiation-related factor 1 homolog","F:GO:0003677","","","GO:0043565"
"LOC111103348",NA,"XP_022292298.1","NC_035780.1","Gnomon","CDS","19416757","19417590",".","+","0","cds1797","rna1982","uncharacterized protein LOC111103348 isoform X1","","","",""
"LOC111123768",NA,"XP_022322037.1","NC_035782.1","Gnomon","CDS","61613262","61614896",".","-","0","cds18699","rna20318","uncharacterized protein LOC111123768","","","",""
"LOC111122922",199,"XP_022320666.1","NC_035782.1","Gnomon","CDS","61903259","61903319",".","-","0","cds18714","rna20339","LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 2-like","F:GO:0043167","","","GO:0005509;GO:0005515"
"LOC111124357",14,"XP_022322915.1","NC_035782.1","Gnomon","CDS","62193431","62193516",".","-","0","cds18748","rna20374","putative neutral sphingomyelinase","","","",""
"LOC111123700",106,"XP_022321931.1","NC_035782.1","Gnomon","CDS","62354768","62354831",".","+","0","cds18780","rna20409","protein crumbs-like isoform X1","F:GO:0043167","","","GO:0005509"
"LOC111127200",20,"XP_022327985.1","NC_035782.1","Gnomon","CDS","62415207","62415305",".","-","1","cds18786","rna20415","NADPH-dependent diflavin oxidoreductase 1-like","GO:0016491;GO:0043167","EC:1.6.2.4","NADPH--hemoprotein reductase","GO:0003958;GO:0006118;GO:0010181;GO:0055114"
"LOC111123080",NA,"XP_022320881.1","NC_035782.1","Gnomon","CDS","62470004","62470504",".","-","0","cds18794","rna20423","ankyrin repeat and SOCS box protein 8-like","F:GO:0003674; P:GO:0007165","","","GO:0005515;GO:0035556"
"LOC111124699",14,"XP_022323528.1","NC_035782.1","Gnomon","CDS","62506041","62507027",".","-","0","cds18800","rna20430","ELAV-like protein 1 isoform X1","F:GO:0003723","","","GO:0003723"
"LOC111125523",NA,"XP_022325147.1","NC_035782.1","Gnomon","CDS","62988891","62989251",".","-","0","cds18850","rna20486","LOW QUALITY PROTEIN: disrupted in renal carcinoma protein 2-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111125516",12,"XP_022325141.1","NC_035782.1","Gnomon","CDS","63062050","63062327",".","+","0","cds18854","rna20490","uncharacterized protein LOC111125516","","","",""
"LOC111125506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111123964",35,"XP_022322430.1","NC_035782.1","Gnomon","CDS","63217941","63217982",".","+","0","cds18874","rna20513","kelch-like protein 5 isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111122539",71,"XP_022320032.1","NC_035782.1","Gnomon","CDS","63399067","63399188",".","-","2","cds18883","rna20522","LOW QUALITY PROTEIN: copper-transporting ATPase 1-like","GO:0005575;GO:0016887;GO:0022857;GO:0043167","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0000166;GO:0005507;GO:0016021;GO:0019829;GO:0030001"
"LOC111125360",40,"XP_022324801.1","NC_035782.1","Gnomon","CDS","64116191","64116675",".","+","0","cds18983","rna20641","dachshund homolog 1-like","","","",""
"LOC111125115",115,"XP_022324298.1","NC_035782.1","Gnomon","CDS","64208288","64208504",".","+","1","cds18986","rna20644","galectin-4-like","F:GO:0003674","","","GO:0030246"
"LOC111111579",123,"XP_022304347.1","NC_035780.1","Gnomon","CDS","19775116","19775271",".","+","0","cds1822","rna2014","RNA polymerase II elongation factor ELL-like","C:GO:0005654; P:GO:0009058; C:GO:0032991; P:GO:0034641","","","GO:0006368;GO:0008023"
"LOC111127151",NA,"XP_022327918.1","NC_035782.1","Gnomon","CDS","64471297","64471440",".","+","0","cds19017","rna20677","LOW QUALITY PROTEIN: guanylate cyclase soluble subunit beta-1-like","GO:0007165;GO:0009058;GO:0016829;GO:0034641;GO:0044281","EC:4.6.1.2","Guanylate cyclase","GO:0004383;GO:0006144;GO:0006182;GO:0020037;GO:0035556;GO:0046039"
"LOC111124377",30,"XP_022322936.1","NC_035782.1","Gnomon","CDS","64739454","64739616",".","+","1","cds19052","rna20713","ATP-dependent (S)-NAD(P)H-hydrate dehydratase-like","GO:0016829","EC:4.2.1.136","ADP-dependent NAD(P)H-hydrate dehydratase","GO:0052855"
"LOC111125348",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111124378",NA,"XP_022322937.1","NC_035782.1","Gnomon","CDS","64811193","64811318",".","+","0","cds19064","rna20726","ER membrane protein complex subunit 7-like","F:GO:0003674","","","GO:0030246"
"LOC111122996",65,"XP_022320774.1","NC_035782.1","Gnomon","CDS","64856548","64856739",".","+","2","cds19072","rna20734","LOW QUALITY PROTEIN: nuclear pore complex protein Nup98-Nup96-like","F:GO:0005198; C:GO:0005635; P:GO:0006913; C:GO:0032991","","","GO:0005643;GO:0006913;GO:0017056"
"LOC111123751",18,"XP_022322019.1","NC_035782.1","Gnomon","CDS","65388335","65388397",".","-","0","cds19111","rna20778","ubiquitin-conjugating enzyme E2-22 kDa-like","F:GO:0003674","","","GO:0005515"
"LOC111123748",47,"XP_022322014.1","NC_035782.1","Gnomon","CDS","65449939","65451415",".","+","0","cds19119","rna20787","LOW QUALITY PROTEIN: adenylate cyclase type 9-like","P:GO:0007165; P:GO:0009058; F:GO:0016829; P:GO:0034641; P:GO:0044281","","","GO:0009190;GO:0016849;GO:0035556"
"LOC111123211",40,"XP_022321098.1","NC_035782.1","Gnomon","CDS","65488313","65488400",".","+","0","cds19120","rna20788","LOW QUALITY PROTEIN: CREB-binding protein-like","GO:0005654;GO:0006464;GO:0009058;GO:0016746;GO:0032991;GO:0034641;GO:0043167;GO:0051276","EC:2.3.1.5; EC:2.3.1.48","Arylamine N-acetyltransferase; Histone acetyltransferase","GO:0000123;GO:0003713;GO:0004402;GO:0005515;GO:0005667;GO:0008270;GO:0016573;GO:0042967;GO:0045893"
