"turquoise.gene_id","turquoise.cpg_count","turquoise.protein_id","turquoise.chr","turquoise.method","turquoise.feature","turquoise.start","turquoise.end","turquoise.score","turquoise.strand","turquoise.phase","turquoise.CDS_ID","turquoise.Parent","turquoise.Description","turquoise.GO.SLIM","turquoise.Enzyme.Codes","turquoise.Enzyme.Names","turquoise.InterproScan.GO.ID"
"LOC111126461",40,"XP_022326850.1","NC_035782.1","Gnomon","CDS","35379665","35380062",".","-","0","cds15633","rna17044","DNL-type zinc finger protein-like","F:GO:0043167","","","GO:0008270"
"LOC111123900",158,"XP_022322286.1","NC_035782.1","Gnomon","CDS","35654676","35654772",".","-","0","cds15664","rna17077","LOW QUALITY PROTEIN: valine--tRNA ligase-like","GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167","EC:6.1.1.9; EC:3.1.1.1","Valine--tRNA ligase; Carboxylesterase","GO:0002161;GO:0004832;GO:0005524;GO:0006438;GO:0009097;GO:0009098;GO:0009099"
"LOC111124202",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111125491",30,"XP_022325102.1","NC_035782.1","Gnomon","CDS","35996871","35997184",".","-","0","cds15694","rna17107","caspase-8-like","GO:0008219;GO:0008233","EC:3.4.22","Acting on peptide bonds (peptidases)","GO:0004197;GO:0005515;GO:0006508;GO:0042981"
"LOC111126408",1,"XP_022326730.1","NC_035782.1","Gnomon","CDS","36219941","36220207",".","+","0","cds15721","rna17140","beta-secretase 1-like","GO:0005575;GO:0008233","EC:3.4.23","Acting on peptide bonds (peptidases)","GO:0004190;GO:0006508;GO:0016021"
"LOC111125886",3,"XP_022325814.1","NC_035782.1","Gnomon","CDS","36240343","36240439",".","-","0","cds15724","rna17143","G protein pathway suppressor 2-like","","","",""
"LOC111126596",7,"XP_022327050.1","NC_035782.1","Gnomon","CDS","36362605","36362667",".","-","0","cds15732","rna17152","coronin-7-like","F:GO:0003674; C:GO:0005794","","","GO:0005515;GO:0005794"
"LOC111124002",51,"XP_022322537.1","NC_035782.1","Gnomon","CDS","36475513","36475640",".","+","1","cds15744","rna17164","titin homolog isoform X1","P:GO:0006810; F:GO:0019899","","","GO:0006886;GO:0017137"
"LOC111106011",NA,"XP_022296230.1","NC_035780.1","Gnomon","CDS","16725005","16725129",".","-","0","cds1592","rna1757","uncharacterized protein LOC111106011","","","",""
"LOC111125462",NA,"XP_022325002.1","NC_035782.1","Gnomon","CDS","36759772","36759903",".","-","2","cds15784","rna17209","mitochondrial import receptor subunit TOM40 homolog 1-like","C:GO:0005739; P:GO:0006605; P:GO:0007005; F:GO:0008565; F:GO:0022857","","","GO:0005741;GO:0008320;GO:0030150"
"LOC111125460",NA,"XP_022325001.1","NC_035782.1","Gnomon","CDS","36767353","36767355",".","+","0","cds15785","rna17210","coatomer subunit delta-like","C:GO:0005794; P:GO:0016192; C:GO:0031410; C:GO:0032991","","","GO:0006890;GO:0030126"
"LOC111123634",18,"XP_022321801.1","NC_035782.1","Gnomon","CDS","36788004","36788098",".","+","0","cds15786","rna17211","LOW QUALITY PROTEIN: uncharacterized protein LOC111123634","P:GO:0007165; F:GO:0008289; F:GO:0043167","","","GO:0005515;GO:0007165;GO:0035091"
"LOC111127414",NA,"XP_022328289.1","NC_035782.1","Gnomon","CDS","36845104","36845163",".","+","0","cds15794","rna17219","archaemetzincin-2-like isoform X1","F:GO:0008233; F:GO:0043167","","","GO:0008237;GO:0008270"
"LOC111122514",1,"XP_022320001.1","NC_035782.1","Gnomon","CDS","36896687","36896760",".","+","1","cds15801","rna17226","ABC transporter G family member 20-like isoform X1","GO:0005886;GO:0016887;GO:0032991;GO:0043167;GO:0055085","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0005524;GO:0016887;GO:0043190;GO:0055085"
"LOC111126366",5,"XP_022326640.1","NC_035782.1","Gnomon","CDS","36917711","36917753",".","+","0","cds15805","rna17230","predicted GPI-anchored protein 58 isoform X1","","","",""
"LOC111125299",5,"XP_022324629.1","NC_035782.1","Gnomon","CDS","37172690","37172786",".","-","0","cds15845","rna17272","G protein pathway suppressor 2-like","","","",""
"LOC111126988",NA,"XP_022327662.1","NC_035782.1","Gnomon","CDS","37307991","37308163",".","+","2","cds15853","rna17280","protein tumorous imaginal discs%2C mitochondrial-like isoform X1","P:GO:0006457; P:GO:0006950; F:GO:0043167; F:GO:0051082","","","GO:0005524;GO:0006457;GO:0009408;GO:0031072;GO:0051082"
"LOC111122682",10,"XP_022320256.1","NC_035782.1","Gnomon","CDS","37317713","37317999",".","-","0","cds15854","rna17281","protein arginine N-methyltransferase 9-like","P:GO:0006464; F:GO:0008168","","","GO:0005515;GO:0006479;GO:0008168"
"LOC111127091",15,"XP_022327816.1","NC_035782.1","Gnomon","CDS","37457692","37457827",".","-","0","cds15869","rna17296","N-acetylneuraminate 9-O-acetyltransferase-like isoform X1","","","",""
"LOC111126838",NA,"XP_022327447.1","NC_035782.1","Gnomon","CDS","37523280","37523665",".","-","2","cds15883","rna17310","uncharacterized protein LOC111126838","","","",""
"LOC111125339",NA,"XP_022324752.1","NC_035782.1","Gnomon","CDS","37749782","37749995",".","-","0","cds15894","rna17323","LOW QUALITY PROTEIN: mitochondrial import receptor subunit TOM40 homolog 1-like","C:GO:0005739; P:GO:0006605; P:GO:0007005; F:GO:0008565; F:GO:0022857","","","GO:0005741;GO:0008320;GO:0030150"
"LOC111125337",6,"XP_022324751.1","NC_035782.1","Gnomon","CDS","37754562","37754564",".","+","0","cds15895","rna17324","coatomer subunit delta-like","C:GO:0005794; P:GO:0016192; C:GO:0031410; C:GO:0032991","","","GO:0006890;GO:0030126"
"LOC111123483",8,"XP_022321518.1","NC_035782.1","Gnomon","CDS","37775955","37776049",".","+","0","cds15897","rna17326","uncharacterized protein LOC111123483 isoform X1","P:GO:0007165; F:GO:0008289; F:GO:0043167","","","GO:0005515;GO:0007165;GO:0035091"
"LOC111124219",NA,"XP_022322785.1","NC_035782.1","Gnomon","CDS","37830927","37831094",".","+","0","cds15915","rna17344","uncharacterized protein LOC111124219","","","",""
"LOC111126323",3,"XP_022326568.1","NC_035782.1","Gnomon","CDS","37920425","37920490",".","+","0","cds15923","rna17352","uncharacterized protein LOC111126323","","","",""
"LOC111127565",NA,"XP_022328493.1","NC_035782.1","Gnomon","CDS","37962380","37962739",".","-","0","cds15930","rna17360","uncharacterized protein LOC111127565","F:GO:0003674","","","GO:0003676"
"LOC111126633",31,"XP_022327116.1","NC_035782.1","Gnomon","CDS","37988136","37988297",".","+","2","cds15932","rna17362","uncharacterized protein LOC111126633","","","",""
"LOC111126632",31,"XP_022327115.1","NC_035782.1","Gnomon","CDS","37991816","37993142",".","+","0","cds15934","rna17364","LOW QUALITY PROTEIN: zinc finger protein 493-like","F:GO:0003674","","","GO:0003676"
"LOC111122928",NA,"XP_022320671.1","NC_035782.1","Gnomon","CDS","38112157","38112187",".","-","0","cds15953","rna17383","uncharacterized protein LOC111122928","","","",""
"LOC111123029",NA,"XP_022320819.1","NC_035782.1","Gnomon","CDS","38164297","38164402",".","-","0","cds15957","rna17388","LOW QUALITY PROTEIN: uncharacterized protein LOC111123029","","","",""
"LOC111124881",NA,"XP_022323846.1","NC_035782.1","Gnomon","CDS","38188549","38188765",".","-","0","cds15961","rna17392","multimerin-2-like","F:GO:0003674","","","GO:0005515"
"LOC111124879",NA,"XP_022323844.1","NC_035782.1","Gnomon","CDS","38192068","38192296",".","-","0","cds15962","rna17393","multimerin-2-like","F:GO:0003674","","","GO:0005515"
"LOC111124876",1,"XP_022323840.1","NC_035782.1","Gnomon","CDS","38201575","38201684",".","-","0","cds15963","rna17394","acylglycerol kinase%2C mitochondrial-like","GO:0016301;GO:0034641;GO:0044281;GO:0051186","EC:2.7.1.23","NAD(+) kinase","GO:0003951;GO:0006769;GO:0046497"
"LOC111127649",NA,"XP_022328625.1","NC_035782.1","Gnomon","CDS","38358833","38360194",".","-","0","cds15982","rna17413","uncharacterized protein LOC111127649","","","",""
"LOC111123401",NA,"XP_022321407.1","NC_035782.1","Gnomon","CDS","38402284","38402370",".","+","0","cds15991","rna17422","uncharacterized RING finger protein ECU07_0330-like","","","",""
"LOC111111226",NA,"XP_022303781.1","NC_035780.1","Gnomon","CDS","16952086","16952284",".","+","0","cds1604","rna1772","claudin-1-like","C:GO:0005575","","","GO:0016021"
"LOC111126484",NA,"XP_022326877.1","NC_035782.1","Gnomon","CDS","38561578","38561751",".","+","0","cds16009","rna17440","uncharacterized protein LOC111126484","P:GO:0006629; P:GO:0009056; F:GO:0030234; P:GO:0034641","","","GO:0006689;GO:0008047"
"LOC111124929",5,"XP_022323945.1","NC_035782.1","Gnomon","CDS","38637134","38637218",".","+","0","cds16014","rna17445","glycogen synthase kinase-3 beta-like","P:GO:0006464; F:GO:0016301; F:GO:0043167","","","GO:0004672;GO:0005524;GO:0006468"
"LOC111122824",NA,"XP_022320522.1","NC_035782.1","Gnomon","CDS","38707731","38707855",".","-","0","cds16024","rna17455","uncharacterized protein LOC111122824","","","",""
"LOC111126519",NA,"XP_022326924.1","NC_035782.1","Gnomon","CDS","38749696","38750985",".","-","0","cds16042","rna17473","tripartite motif-containing protein 2-like","F:GO:0043167","","","GO:0005515;GO:0008270"
"LOC111123522",NA,"XP_022321621.1","NC_035782.1","Gnomon","CDS","38823704","38824131",".","-","2","cds16052","rna17484","multimerin-2-like","F:GO:0003674","","","GO:0005515"
"LOC111126402",13,"XP_022326711.1","NC_035782.1","Gnomon","CDS","38842760","38842889",".","+","0","cds16057","rna17489","probable secreted beta-glucosidase adg3 isoform X1","","","",""
"LOC111125221",NA,"XP_022324492.1","NC_035782.1","Gnomon","CDS","38879392","38879568",".","+","2","cds16062","rna17494","embryonic protein UVS.2-like","","","",""
"LOC111102772",NA,"XP_022291348.1","NC_035780.1","Gnomon","CDS","17048293","17048333",".","-","0","cds1609","rna1777","uncharacterized protein LOC111102772","","","",""
"LOC111122981",21,"XP_022320741.1","NC_035782.1","Gnomon","CDS","39240709","39240864",".","-","0","cds16118","rna17551","uncharacterized protein LOC111122981","","","",""
"LOC111125071",NA,"XP_022324235.1","NC_035782.1","Gnomon","CDS","39268490","39268880",".","-","0","cds16121","rna17554","uncharacterized protein LOC111125071 isoform X1","","","",""
"LOC111123585",NA,"XP_022321715.1","NC_035782.1","Gnomon","CDS","39320386","39320393",".","-","0","cds16131","rna17564","uncharacterized protein LOC111123585 isoform X1","","","",""
"LOC111123250",NA,"XP_022321182.1","NC_035782.1","Gnomon","CDS","39379300","39379431",".","-","0","cds16148","rna17581","gastric triacylglycerol lipase-like isoform X1","F:GO:0003674","","","GO:0016788"
"LOC111125881",13,"XP_022325801.1","NC_035782.1","Gnomon","CDS","39517329","39517345",".","-","0","cds16161","rna17595","protein AAR2 homolog isoform X1","","","",""
"LOC111126902",56,"XP_022327538.1","NC_035782.1","Gnomon","CDS","39620149","39620307",".","+","0","cds16179","rna17617","uncharacterized protein LOC111126902","","","",""
"LOC111124793",NA,"XP_022323692.1","NC_035782.1","Gnomon","CDS","40076059","40076137",".","-","0","cds16218","rna17658","NEDD4 family-interacting protein 1-like","P:GO:0007034","","","GO:0007034;GO:0030001"
"LOC111124775",NA,"XP_022323671.1","NC_035782.1","Gnomon","CDS","40150358","40151145",".","-","2","cds16227","rna17667","otopetrin-3-like","","","",""
"LOC111124800",NA,"XP_022323699.1","NC_035782.1","Gnomon","CDS","40185605","40185816",".","-","0","cds16229","rna17669","uncharacterized protein LOC111124800","C:GO:0005739; P:GO:0006091; C:GO:0032991","","","GO:0005747;GO:0022900"
"LOC111124795",NA,"XP_022323694.1","NC_035782.1","Gnomon","CDS","40280836","40280877",".","-","0","cds16235","rna17676","uncharacterized protein LOC111124795","","","",""
"LOC111127498",123,"XP_022328408.1","NC_035782.1","Gnomon","CDS","40400744","40400890",".","-","2","cds16251","rna17694","epidermal growth factor receptor-like isoform X1","GO:0005575;GO:0006464;GO:0007165;GO:0016301;GO:0043167","EC:2.7.10; EC:2.7.10.1; EC:2.7.11","Transferring phosphorus-containing groups; Receptor protein-tyrosine kinase; Transferring phosphorus-containing groups","GO:0004714;GO:0005524;GO:0006468;GO:0007169;GO:0016020"
"LOC111123971",78,"XP_022322453.1","NC_035782.1","Gnomon","CDS","40448739","40448873",".","-","0","cds16254","rna17697","tyrosine-protein phosphatase non-receptor type 23-like isoform X1","GO:0006464;GO:0006520;GO:0016791","EC:3.1.3.16; EC:3.1.3.48","Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase","GO:0004725;GO:0005515;GO:0006470;GO:0006570"
"LOC111122716",NA,"XP_022320303.1","NC_035782.1","Gnomon","CDS","40462334","40462383",".","-","0","cds16256","rna17699","uridine phosphorylase 1-like","GO:0005737;GO:0009058;GO:0016757;GO:0034655;GO:0044281","EC:2.4.2.3","Uridine phosphorylase","GO:0004850;GO:0005737;GO:0006206;GO:0009116;GO:0009166"
"LOC111123890",18,"XP_022322248.1","NC_035782.1","Gnomon","CDS","40539745","40539870",".","-","0","cds16271","rna17714","dipeptidyl peptidase 4-like isoform X1","F:GO:0008233; F:GO:0043167","","","GO:0005524;GO:0006508;GO:0008236"
"LOC111126074",NA,"XP_022326175.1","NC_035782.1","Gnomon","CDS","40646758","40646833",".","-","0","cds16291","rna17734","probable Xaa-Pro aminopeptidase P","F:GO:0003674","","","GO:0016787"
"LOC111126075",NA,"XP_022326176.1","NC_035782.1","Gnomon","CDS","40637639","40637664",".","+","0","cds16293","rna17736","uncharacterized protein LOC111126075 isoform X1","","","",""
"LOC111123210",147,"XP_022321097.1","NC_035782.1","Gnomon","CDS","40782072","40783863",".","+","0","cds16311","rna17755","LOW QUALITY PROTEIN: arf-GAP with Rho-GAP domain%2C ANK repeat and PH domain-containing protein 1-like","P:GO:0007165; F:GO:0030234","","","GO:0005096;GO:0005515;GO:0007165"
"LOC111125021",NA,"XP_022324142.1","NC_035782.1","Gnomon","CDS","40910125","40910232",".","-","0","cds16323","rna17767","E3 ubiquitin-protein ligase MYCBP2-like","F:GO:0003674; P:GO:0006464","","","GO:0004842;GO:0016567"
"LOC111124234",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111131839",NA,"XP_022335278.1","NC_035780.1","Gnomon","CDS","17167679","17167739",".","+","0","cds1629","rna1797","mucin-5AC-like isoform X1","","","",""
"LOC111122906",NA,"XP_022320649.1","NC_035782.1","Gnomon","CDS","41416777","41416920",".","+","0","cds16361","rna17810","uncharacterized protein LOC111122906","C:GO:0005739; P:GO:0007005; P:GO:0009056","","","GO:0005741;GO:0035694"
"LOC111125454",NA,"XP_022324995.1","NC_035782.1","Gnomon","CDS","41454762","41454971",".","-","0","cds16370","rna17819","uncharacterized protein LOC111125454","","","",""
"LOC111124238",NA,"XP_022322801.1","NC_035782.1","Gnomon","CDS","41557345","41557461",".","+","1","cds16382","rna17831","nucleoprotein TPR-like","C:GO:0005575; F:GO:0043167","","","GO:0005509;GO:0016020"
"LOC111126172",NA,"XP_022326326.1","NC_035782.1","Gnomon","CDS","41751241","41751727",".","+","0","cds16398","rna17847","uncharacterized protein LOC111126172 isoform X1","","","",""
"LOC111123636",NA,"XP_022321804.1","NC_035782.1","Gnomon","CDS","41760562","41761827",".","+","0","cds16400","rna17849","uncharacterized protein LOC111123636","P:GO:0008219","","","GO:0042981"
"LOC111127146",8,"XP_022327907.1","NC_035782.1","Gnomon","CDS","41806586","41806644",".","+","2","cds16409","rna17858","palmitoyltransferase ZDHHC15-like isoform X1","","","",""
"LOC111124865",19,"XP_022323812.1","NC_035782.1","Gnomon","CDS","41849691","41849778",".","-","0","cds16420","rna17870","kelch-like protein 3 isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111127657",NA,"XP_022328659.1","NC_035780.1","Gnomon","CDS","17219259","17219273",".","+","2","cds1632","rna1800","uncharacterized protein LOC111127657","","","",""
"LOC111127031",NA,"XP_022327719.1","NC_035782.1","Gnomon","CDS","42005717","42005954",".","-","0","cds16432","rna17884","transport and Golgi organization protein 2 homolog","","","",""
"LOC111124241",NA,"XP_022322805.1","NC_035782.1","Gnomon","CDS","42116994","42117006",".","-","0","cds16439","rna17895","LOW QUALITY PROTEIN: tetraspanin-9-like","C:GO:0005575","","","GO:0016021"
"LOC111123451",63,"XP_022321475.1","NC_035782.1","Gnomon","CDS","42146809","42147065",".","+","2","cds16441","rna17897","LOW QUALITY PROTEIN: dual specificity tyrosine-phosphorylation-regulated kinase 1A-like","GO:0006464;GO:0016301;GO:0043167","EC:2.7.12.1","Dual-specificity kinase","GO:0004712;GO:0005524;GO:0046777"
"LOC111127563",6,"XP_022328491.1","NC_035782.1","Gnomon","CDS","42170529","42170583",".","-","0","cds16442","rna17898","LOW QUALITY PROTEIN: lathosterol oxidase-like","P:GO:0006629; P:GO:0009058; F:GO:0016491; F:GO:0043167","","","GO:0005506;GO:0008610;GO:0016491;GO:0055114"
"LOC111125049",102,"XP_022324202.1","NC_035782.1","Gnomon","CDS","42271571","42272393",".","-","0","cds16448","rna17904","rab9 effector protein with kelch motifs-like","F:GO:0003674","","","GO:0005515"
"LOC111127027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111125581",NA,"XP_022325254.1","NC_035782.1","Gnomon","CDS","42407847","42408077",".","+","2","cds16467","rna17927","low-density lipoprotein receptor-related protein 4-like","","","",""
"LOC111123642",NA,"XP_022321811.1","NC_035782.1","Gnomon","CDS","42581379","42581460",".","+","0","cds16481","rna17945","uncharacterized protein LOC111123642","GO:0005575;GO:0008233;GO:0043167","EC:3.4.24","Acting on peptide bonds (peptidases)","GO:0004222;GO:0006508;GO:0008270;GO:0016020"
"LOC111126781",NA,"XP_022327348.1","NC_035782.1","Gnomon","CDS","42618794","42618822",".","+","0","cds16484","rna17948","uncharacterized protein LOC111126781","","","",""
"LOC111126416",NA,"XP_022326754.1","NC_035782.1","Gnomon","CDS","42967741","42967998",".","+","0","cds16539","rna18005","inverted formin-2-like isoform X1","P:GO:0007010; F:GO:0008092; F:GO:0019899","","","GO:0003779;GO:0017048;GO:0030036"
"LOC111125377",NA,"XP_022324844.1","NC_035782.1","Gnomon","CDS","43006908","43007167",".","+","2","cds16550","rna18016","uncharacterized protein LOC111125377","GO:0016757","EC:2.4.2.30","NAD(+) ADP-ribosyltransferase","GO:0003950"
"LOC111124485",NA,"XP_022323065.1","NC_035782.1","Gnomon","CDS","43148166","43148483",".","-","0","cds16568","rna18034","heat shock 70 kDa protein 12A-like","","","",""
"LOC111126789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111126819",NA,"XP_022327432.1","NC_035782.1","Gnomon","CDS","43307864","43307933",".","+","0","cds16579","rna18046","hemicentin-1-like","F:GO:0003674","","","GO:0005515"
"LOC111122800",NA,"XP_022320446.1","NC_035780.1","Gnomon","CDS","17410560","17411223",".","+","0","cds1640","rna1812","eisosome protein 1-like","F:GO:0003674","","","GO:0005515"
"LOC111123079",NA,"XP_022320880.1","NC_035782.1","Gnomon","CDS","43368817","43368869",".","+","2","cds16583","rna18050","titin-like","F:GO:0003674","","","GO:0005515"
"LOC111127041",NA,"XP_022327732.1","NC_035782.1","Gnomon","CDS","43404477","43404673",".","+","2","cds16587","rna18054","monocarboxylate transporter 12-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111123493",17,"XP_022321564.1","NC_035782.1","Gnomon","CDS","43669963","43670101",".","-","0","cds16620","rna18087","myosin-IIIb-like isoform X1","GO:0005856;GO:0006464;GO:0016301;GO:0032991;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003774;GO:0004672;GO:0005515;GO:0005524;GO:0006468;GO:0016459"
"LOC111123497",NA,"XP_022321583.1","NC_035782.1","Gnomon","CDS","43890120","43890441",".","+","0","cds16647","rna18115","solute carrier family 26 member 10-like isoform X1","C:GO:0005575; F:GO:0022857","","","GO:0008271;GO:0008272;GO:0016021;GO:0055085"
"LOC111123509",NA,"XP_022321606.1","NC_035782.1","Gnomon","CDS","43912437","43912560",".","+","0","cds16653","rna18121","N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase-like","F:GO:0003674","","","GO:0016787"
"LOC111123498",NA,"XP_022321587.1","NC_035782.1","Gnomon","CDS","43940636","43942843",".","-","0","cds16658","rna18126","zinc finger protein 91-like","F:GO:0003674","","","GO:0003676"
"LOC111125800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111126025",NA,"XP_022326099.1","NC_035782.1","Gnomon","CDS","44207971","44208288",".","-","0","cds16691","rna18160","heat shock 70 kDa protein 12A-like","","","",""
"LOC111126381",NA,"XP_022326680.1","NC_035782.1","Gnomon","CDS","44303322","44303433",".","+","0","cds16701","rna18170","type I inositol 3%2C4-bisphosphate 4-phosphatase-like isoform X1","GO:0016791","EC:3.1.3.66","Phosphatidylinositol-3,4-bisphosphate 4-phosphatase","GO:0016316"
"LOC111120886",513,"XP_022317618.1","NC_035780.1","Gnomon","CDS","17471640","17471788",".","+","1","cds1647","rna1820","LOW QUALITY PROTEIN: midasin-like","GO:0005634;GO:0016887;GO:0022618;GO:0042254;GO:0043167","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase","GO:0000027;GO:0005524;GO:0005634;GO:0016887"
"LOC111122960",4,"XP_022320714.1","NC_035782.1","Gnomon","CDS","44507907","44507976",".","+","0","cds16712","rna18183","uncharacterized protein LOC111122960","F:GO:0003674","","","GO:0005515"
"LOC111126031",NA,"XP_022326109.1","NC_035782.1","Gnomon","CDS","44567071","44567288",".","+","2","cds16714","rna18185","monocarboxylate transporter 7-like isoform X1","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111125387",13,"XP_022324854.1","NC_035782.1","Gnomon","CDS","44636507","44636567",".","+","0","cds16722","rna18194","Down syndrome cell adhesion molecule homolog isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111126238",NA,"XP_022326436.1","NC_035782.1","Gnomon","CDS","44959757","44959814",".","-","0","cds16770","rna18242","neuronal acetylcholine receptor subunit alpha-6-like","C:GO:0005575; P:GO:0007165; F:GO:0022857","","","GO:0004888;GO:0005230;GO:0007165;GO:0016021;GO:0034220"
"LOC111126834",NA,"XP_022327443.1","NC_035782.1","Gnomon","CDS","45113640","45113694",".","-","0","cds16787","rna18263","uncharacterized protein LOC111126834","P:GO:0007267; F:GO:0008289; F:GO:0043167; P:GO:0055085","","","GO:0030431;GO:0032222;GO:0034235;GO:1903818"
"LOC111126750",19,"XP_022327296.1","NC_035782.1","Gnomon","CDS","45195652","45196530",".","+","2","cds16797","rna18273","Hermansky-Pudlak syndrome 3 protein homolog isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111124270",NA,"XP_022322833.1","NC_035782.1","Gnomon","CDS","45209270","45209490",".","+","2","cds16799","rna18275","A disintegrin and metalloproteinase with thrombospondin motifs 6-like","GO:0008233","EC:3.4.24","Acting on peptide bonds (peptidases)","GO:0004222;GO:0006508"
"LOC111125166",NA,"XP_022324408.1","NC_035782.1","Gnomon","CDS","45220634","45220909",".","+","0","cds16800","rna18276","uncharacterized protein LOC111125166","","","",""
"LOC111125150",NA,"XP_022324363.1","NC_035782.1","Gnomon","CDS","45229503","45229623",".","+","0","cds16801","rna18277","flocculation protein FLO11-like","GO:0008233","EC:3.4.24","Acting on peptide bonds (peptidases)","GO:0004222;GO:0006508"
"LOC111125178",NA,"XP_022324424.1","NC_035782.1","Gnomon","CDS","45280567","45280782",".","-","0","cds16812","rna18288","mediator of RNA polymerase II transcription subunit 29-like","C:GO:0005654; C:GO:0032991","","","GO:0016592"
"LOC111124271",NA,"XP_022322834.1","NC_035782.1","Gnomon","CDS","45314145","45314238",".","+","0","cds16818","rna18294","prolyl-tRNA synthetase associated domain-containing protein 1-like","GO:0003674","EC:3.1.1.1","Carboxylesterase","GO:0002161"
"LOC111125173",NA,"XP_022324416.1","NC_035782.1","Gnomon","CDS","45350155","45351360",".","-","0","cds16823","rna18299","transmembrane protein 246-like","","","",""
"LOC111125180",1,"XP_022324427.1","NC_035782.1","Gnomon","CDS","45374436","45374586",".","-","0","cds16824","rna18300","probable ergosterol biosynthetic protein 28","C:GO:0005575","","","GO:0016021"
"LOC111125165",NA,"XP_022324406.1","NC_035782.1","Gnomon","CDS","45383678","45384609",".","-","2","cds16827","rna18303","protein angel homolog 2-like isoform X1","","","",""
"LOC111125154",NA,"XP_022324381.1","NC_035782.1","Gnomon","CDS","45431520","45431828",".","-","0","cds16833","rna18309","uncharacterized protein LOC111125154","","","",""
"LOC111125183",NA,"XP_022324429.1","NC_035782.1","Gnomon","CDS","45463996","45464208",".","-","0","cds16839","rna18315","F-box only protein 48-like","F:GO:0003674","","","GO:0005515"
"LOC111125177",NA,"XP_022324423.1","NC_035782.1","Gnomon","CDS","45464621","45464872",".","+","0","cds16840","rna18316","phosphatidylinositol-glycan biosynthesis class F protein-like","C:GO:0005737; C:GO:0005783; P:GO:0006464; P:GO:0006629; P:GO:0009058","","","GO:0005789;GO:0006506"
